bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,3,1,2,6,36,2022-09-01 10:20:37+00:00,32,3
01,01002,7,1,1,3,22,108,2022-09-01 10:20:37+00:00,91,16
01,01003,3,1,0,2,15,101,2022-09-01 10:20:37+00:00,84,8
01,01004,1,2,1,1,2,21,2022-09-01 10:20:37+00:00,21,2
01,01051,1,0,0,1,4,35,2022-09-01 10:20:37+00:00,35,4
01,01053,2,0,0,2,0,16,2022-09-01 10:20:37+00:00,16,0
01,01054,3,1,1,3,2,21,2022-09-01 10:20:37+00:00,21,2
01,01055,3,4,1,3,7,38,2022-09-01 10:20:37+00:00,38,7
01,01056,2,2,1,2,0,32,2022-09-01 10:20:37+00:00,32,0
01,01057,1,0,0,1,6,6,2022-09-01 10:20:37+00:00,6,6
01,01058,5,1,1,3,13,30,2022-09-01 10:20:37+00:00,26,11
01,01059,1,1,0,1,1,23,2022-09-01 10:20:37+00:00,23,1
01,01060,3,3,1,3,18,66,2022-09-01 10:20:37+00:00,66,18
01,01061,3,0,0,1,10,33,2022-09-01 10:20:37+00:00,21,9
01,01062,3,0,0,3,8,24,2022-09-01 10:20:37+00:00,24,8
02,02000,33,21,8,23,119,417,2022-09-01 10:20:37+00:00,357,72
03,03101,7,3,3,5,34,98,2022-09-01 10:20:37+00:00,88,27
03,03102,2,0,0,2,2,26,2022-09-01 10:20:37+00:00,26,2
03,03103,3,1,0,1,2,28,2022-09-01 10:20:37+00:00,20,0
03,03151,1,0,0,1,2,10,2022-09-01 10:20:37+00:00,10,2
03,03153,3,1,1,3,0,22,2022-09-01 10:20:37+00:00,22,0
03,03154,1,0,0,1,0,9,2022-09-01 10:20:37+00:00,9,0
03,03155,2,0,0,2,6,17,2022-09-01 10:20:37+00:00,17,6
03,03157,1,0,0,1,1,13,2022-09-01 10:20:37+00:00,13,1
03,03158,1,0,0,1,4,12,2022-09-01 10:20:37+00:00,12,4
03,03159,8,5,1,7,38,106,2022-09-01 10:20:37+00:00,96,33
03,03241,19,10,7,16,68,328,2022-09-01 10:20:37+00:00,281,54
03,03251,3,0,0,3,9,8,2022-09-01 10:20:37+00:00,8,9
03,03252,6,1,1,4,9,58,2022-09-01 10:20:37+00:00,58,3
03,03254,7,4,2,4,19,56,2022-09-01 10:20:37+00:00,49,15
03,03255,1,3,0,1,0,10,2022-09-01 10:20:37+00:00,10,0
03,03256,1,1,0,1,2,14,2022-09-01 10:20:37+00:00,14,2
03,03257,1,0,0,1,5,19,2022-09-01 10:20:37+00:00,19,5
03,03351,2,1,1,1,10,27,2022-09-01 10:20:37+00:00,20,7
03,03352,2,1,1,2,6,9,2022-09-01 10:20:37+00:00,9,6
03,03353,3,0,0,3,4,27,2022-09-01 10:20:37+00:00,27,4
03,03354,1,0,0,1,0,6,2022-09-01 10:20:37+00:00,6,0
03,03355,3,0,0,1,7,30,2022-09-01 10:20:37+00:00,20,0
03,03356,3,0,0,2,2,8,2022-09-01 10:20:37+00:00,8,2
03,03357,3,0,0,2,8,22,2022-09-01 10:20:37+00:00,21,5
03,03358,2,1,1,2,4,18,2022-09-01 10:20:37+00:00,18,4
03,03359,3,1,0,2,6,22,2022-09-01 10:20:37+00:00,22,3
03,03360,2,0,0,2,2,74,2022-09-01 10:20:37+00:00,74,2
03,03361,2,0,0,2,3,12,2022-09-01 10:20:37+00:00,12,3
03,03401,1,1,0,1,8,9,2022-09-01 10:20:37+00:00,9,8
03,03402,1,0,0,1,0,13,2022-09-01 10:20:37+00:00,13,0
03,03403,5,3,1,3,11,108,2022-09-01 10:20:37+00:00,91,9
