bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,1,0,2,11,31,2022-08-16 10:20:43+00:00,29,6
01,01002,7,2,2,3,14,115,2022-08-16 10:20:43+00:00,95,9
01,01003,3,10,4,2,11,111,2022-08-16 10:20:43+00:00,89,9
01,01004,1,0,0,1,6,19,2022-08-16 10:20:43+00:00,19,6
01,01051,1,1,0,1,5,30,2022-08-16 10:20:43+00:00,30,5
01,01053,2,0,0,2,1,17,2022-08-16 10:20:43+00:00,17,1
01,01054,3,1,0,3,7,17,2022-08-16 10:20:43+00:00,17,7
01,01055,3,3,0,3,6,39,2022-08-16 10:20:43+00:00,39,6
01,01056,2,1,0,2,0,36,2022-08-16 10:20:43+00:00,36,0
01,01057,1,0,0,1,5,7,2022-08-16 10:20:43+00:00,7,5
01,01058,5,3,3,3,16,27,2022-08-16 10:20:43+00:00,24,13
01,01059,1,0,0,1,1,23,2022-08-16 10:20:43+00:00,23,1
01,01060,3,3,2,3,16,63,2022-08-16 10:20:43+00:00,63,16
01,01061,3,2,0,1,9,34,2022-08-16 10:20:43+00:00,28,2
01,01062,3,2,0,3,9,21,2022-08-16 10:20:43+00:00,21,9
02,02000,33,38,17,23,102,423,2022-08-16 10:20:43+00:00,366,53
03,03101,7,6,4,5,32,100,2022-08-16 10:20:43+00:00,89,26
03,03102,2,1,1,2,4,24,2022-08-16 10:20:43+00:00,24,4
03,03103,3,3,2,1,5,25,2022-08-16 10:20:43+00:00,19,1
03,03151,1,1,1,1,0,13,2022-08-16 10:20:43+00:00,13,0
03,03153,3,1,1,3,4,18,2022-08-16 10:20:43+00:00,18,4
03,03154,1,1,1,1,0,13,2022-08-16 10:20:43+00:00,13,0
03,03155,2,1,0,2,8,13,2022-08-16 10:20:43+00:00,13,8
03,03157,1,1,0,1,2,14,2022-08-16 10:20:43+00:00,14,2
03,03158,1,0,0,1,6,10,2022-08-16 10:20:43+00:00,10,6
03,03159,8,6,1,7,25,116,2022-08-16 10:20:43+00:00,106,20
03,03241,19,15,8,16,48,340,2022-08-16 10:20:43+00:00,291,35
03,03251,3,0,0,3,3,14,2022-08-16 10:20:43+00:00,14,3
03,03252,6,1,0,4,9,59,2022-08-16 10:20:43+00:00,58,4
03,03254,7,6,3,4,23,51,2022-08-16 10:20:43+00:00,45,17
03,03255,1,0,0,1,1,9,2022-08-16 10:20:43+00:00,9,1
03,03256,1,0,0,1,3,13,2022-08-16 10:20:43+00:00,13,3
03,03257,1,1,0,1,8,16,2022-08-16 10:20:43+00:00,16,8
03,03351,2,2,0,1,5,31,2022-08-16 10:20:43+00:00,24,2
03,03352,2,2,1,2,1,14,2022-08-16 10:20:43+00:00,14,1
03,03353,3,1,0,3,2,29,2022-08-16 10:20:43+00:00,29,2
03,03354,1,0,0,1,2,4,2022-08-16 10:20:43+00:00,4,2
03,03355,3,1,0,1,1,36,2022-08-16 10:20:43+00:00,20,0
03,03356,3,1,0,2,1,8,2022-08-16 10:20:43+00:00,8,1
03,03357,3,3,2,2,7,23,2022-08-16 10:20:43+00:00,23,3
03,03358,2,3,0,2,3,19,2022-08-16 10:20:43+00:00,19,3
03,03359,3,2,0,2,8,20,2022-08-16 10:20:43+00:00,19,6
03,03360,2,2,0,2,5,71,2022-08-16 10:20:43+00:00,71,5
03,03361,2,1,0,2,3,12,2022-08-16 10:20:43+00:00,12,3
03,03401,1,0,0,1,1,11,2022-08-16 10:20:43+00:00,11,1
03,03402,1,1,1,1,0,13,2022-08-16 10:20:43+00:00,13,0
03,03403,5,3,1,3,10,111,2022-08-16 10:20:43+00:00,92,5
03,03404,5,5,0,4,7,103,2022-08-16 10:20:43+00:00,87,7
03,03405,2,1,0,1,8,19,2022-08-16 10:20:43+00:00,19,0
03,03451,3,1,0,2,1,29,2022-08-16 10:20:43+00:00,29,1
03,03452,4,1,1,3,8,28,2022-08-16 10:20:43+00:00,26,2
03,03453,3,2,0,3,6,18,2022-08-16 10:20:43+00:00,18,6
03,03454,10,3,0,6,23,57,2022-08-16 10:20:43+00:00,47,9
03,03455,2,1,0,2,7,24,2022-08-16 10:20:43+00:00,24,7
03,03456,1,0,0,1,0,27,2022-08-16 10:20:43+00:00,27,0
03,03457,6,1,0,4,8,19,2022-08-16 10:20:43+00:00,19,3
