bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,1,0,2,7,35,2021-12-22 12:15:00,32,3
01,01002,7,10,6,3,30,110,2021-12-22 12:15:00,94,22
01,01003,3,6,4,2,11,113,2021-12-22 12:15:00,91,9
01,01004,1,2,1,1,5,20,2021-12-22 12:15:00,20,5
01,01051,1,3,1,1,2,36,2021-12-22 12:15:00,36,2
01,01053,2,2,0,2,7,11,2021-12-22 12:15:00,11,7
01,01054,3,2,1,3,8,16,2021-12-22 12:15:00,16,8
01,01055,3,1,1,3,3,41,2021-12-22 12:15:00,41,3
01,01056,2,5,4,2,4,26,2021-12-22 12:15:00,26,4
01,01057,1,1,0,1,8,4,2021-12-22 12:15:00,4,8
01,01058,5,2,2,3,18,24,2021-12-22 12:15:00,21,15
01,01059,1,3,2,1,0,24,2021-12-22 12:15:00,24,0
01,01060,3,4,1,3,21,59,2021-12-22 12:15:00,59,21
01,01061,3,3,2,1,14,29,2021-12-22 12:15:00,22,8
01,01062,3,7,3,3,6,22,2021-12-22 12:15:00,22,6
02,02000,34,69,30,24,124,455,2021-12-22 12:15:00,404,66
03,03101,7,12,5,5,28,101,2021-12-22 12:15:00,90,22
03,03102,2,4,2,2,3,25,2021-12-22 12:15:00,25,3
03,03103,3,8,5,1,8,23,2021-12-22 12:15:00,18,4
03,03151,1,4,1,1,0,12,2021-12-22 12:15:00,12,0
03,03153,3,3,3,3,1,23,2021-12-22 12:15:00,23,1
03,03154,1,3,3,1,4,13,2021-12-22 12:15:00,13,4
03,03155,2,2,0,2,5,16,2021-12-22 12:15:00,16,5
03,03157,1,2,1,1,3,11,2021-12-22 12:15:00,11,3
03,03158,1,1,1,1,3,13,2021-12-22 12:15:00,13,3
03,03159,8,21,15,7,27,124,2021-12-22 12:15:00,111,23
03,03241,19,52,29,16,53,339,2021-12-22 12:15:00,296,43
03,03251,3,1,1,3,7,10,2021-12-22 12:15:00,10,7
03,03252,6,6,4,4,7,67,2021-12-22 12:15:00,62,6
03,03254,7,9,4,4,14,63,2021-12-22 12:15:00,57,9
03,03255,1,2,1,1,3,6,2021-12-22 12:15:00,6,3
03,03256,1,2,0,1,0,12,2021-12-22 12:15:00,12,0
03,03257,1,1,1,1,0,23,2021-12-22 12:15:00,23,0
03,03351,2,3,3,1,7,26,2021-12-22 12:15:00,21,2
03,03352,2,2,0,2,4,8,2021-12-22 12:15:00,8,4
03,03353,3,6,2,3,2,32,2021-12-22 12:15:00,32,2
03,03354,1,1,0,1,2,4,2021-12-22 12:15:00,4,2
03,03355,3,3,2,1,12,31,2021-12-22 12:15:00,20,6
03,03356,3,2,1,2,4,7,2021-12-22 12:15:00,7,4
03,03357,3,4,3,2,9,25,2021-12-22 12:15:00,25,5
03,03358,2,4,2,2,4,17,2021-12-22 12:15:00,17,4
