bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,2,1,2,4,36,2022-10-09 10:20:28+00:00,30,3
01,01002,7,1,1,3,29,105,2022-10-09 10:20:28+00:00,89,21
01,01003,3,7,1,2,4,109,2022-10-09 10:20:28+00:00,88,4
01,01004,1,0,0,1,3,20,2022-10-09 10:20:28+00:00,20,3
01,01051,1,4,2,1,0,37,2022-10-09 10:20:28+00:00,37,0
01,01053,2,1,0,2,3,13,2022-10-09 10:20:28+00:00,13,3
01,01054,3,4,0,3,3,17,2022-10-09 10:20:28+00:00,17,3
01,01055,3,7,0,3,6,39,2022-10-09 10:20:28+00:00,39,6
01,01056,2,3,2,2,6,29,2022-10-09 10:20:28+00:00,29,6
01,01057,1,2,0,1,3,9,2022-10-09 10:20:28+00:00,9,3
01,01058,5,0,0,3,12,31,2022-10-09 10:20:28+00:00,28,9
01,01059,1,0,0,1,2,22,2022-10-09 10:20:28+00:00,22,2
01,01060,3,11,8,3,20,59,2022-10-09 10:20:28+00:00,59,20
01,01061,3,1,0,1,5,38,2022-10-09 10:20:28+00:00,27,3
01,01062,3,0,0,3,5,23,2022-10-09 10:20:28+00:00,23,5
02,02000,34,18,7,24,85,434,2022-10-09 10:20:28+00:00,374,44
03,03101,7,7,1,5,28,104,2022-10-09 10:20:28+00:00,91,24
03,03102,2,3,2,2,2,26,2022-10-09 10:20:28+00:00,26,2
03,03103,3,1,1,1,7,19,2022-10-09 10:20:28+00:00,10,6
03,03151,1,0,0,1,1,13,2022-10-09 10:20:28+00:00,13,1
03,03153,3,1,0,3,5,15,2022-10-09 10:20:28+00:00,15,5
03,03154,1,1,1,1,1,8,2022-10-09 10:20:28+00:00,8,1
03,03155,2,3,1,2,5,13,2022-10-09 10:20:28+00:00,13,5
03,03157,1,0,0,1,1,13,2022-10-09 10:20:28+00:00,13,1
03,03158,1,3,0,1,5,11,2022-10-09 10:20:28+00:00,11,5
03,03159,8,12,3,7,21,118,2022-10-09 10:20:28+00:00,104,19
03,03241,19,9,4,16,44,329,2022-10-09 10:20:28+00:00,281,36
03,03251,3,0,0,3,6,12,2022-10-09 10:20:28+00:00,12,6
03,03252,6,0,0,4,11,54,2022-10-09 10:20:28+00:00,53,6
03,03254,7,1,1,4,23,47,2022-10-09 10:20:28+00:00,39,19
