bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,1,0,2,5,37,2022-09-22 10:20:43+00:00,34,1
01,01002,7,2,2,3,15,120,2022-09-22 10:20:43+00:00,101,9
01,01003,3,2,0,2,4,114,2022-09-22 10:20:43+00:00,94,0
01,01004,1,0,0,1,2,21,2022-09-22 10:20:43+00:00,21,2
01,01051,1,0,0,1,4,36,2022-09-22 10:20:43+00:00,36,4
01,01053,2,1,0,2,5,12,2022-09-22 10:20:43+00:00,12,5
01,01054,3,1,0,3,3,21,2022-09-22 10:20:43+00:00,21,3
01,01055,3,3,1,3,8,38,2022-09-22 10:20:43+00:00,38,8
01,01056,2,2,1,2,6,29,2022-09-22 10:20:43+00:00,29,6
01,01057,1,1,0,1,5,7,2022-09-22 10:20:43+00:00,7,5
01,01058,5,1,1,3,14,29,2022-09-22 10:20:43+00:00,24,13
01,01059,1,2,0,1,0,24,2022-09-22 10:20:43+00:00,24,0
01,01060,3,1,1,3,21,63,2022-09-22 10:20:43+00:00,63,21
01,01061,3,3,0,1,17,26,2022-09-22 10:20:43+00:00,15,15
01,01062,3,0,0,3,9,23,2022-09-22 10:20:43+00:00,23,9
02,02000,34,14,6,24,100,455,2022-09-22 10:20:43+00:00,390,57
03,03101,7,3,2,5,28,105,2022-09-22 10:20:43+00:00,90,26
03,03102,2,0,0,2,0,28,2022-09-22 10:20:43+00:00,28,0
03,03103,3,0,0,1,6,24,2022-09-22 10:20:43+00:00,19,1
03,03151,1,1,0,1,0,12,2022-09-22 10:20:43+00:00,12,0
03,03153,3,0,0,3,4,20,2022-09-22 10:20:43+00:00,20,4
03,03154,1,0,0,1,0,9,2022-09-22 10:20:43+00:00,9,0
03,03155,2,0,0,2,7,13,2022-09-22 10:20:43+00:00,13,7
03,03157,1,2,1,1,1,15,2022-09-22 10:20:43+00:00,15,1
03,03158,1,1,0,1,4,12,2022-09-22 10:20:43+00:00,12,4
03,03159,8,3,0,7,28,109,2022-09-22 10:20:43+00:00,97,26
03,03241,19,10,6,16,48,351,2022-09-22 10:20:43+00:00,305,35
03,03251,3,0,0,3,6,12,2022-09-22 10:20:43+00:00,12,6
03,03252,6,0,0,4,11,58,2022-09-22 10:20:43+00:00,57,6
03,03254,7,2,0,4,26,48,2022-09-22 10:20:43+00:00,42,20
03,03255,1,0,0,1,1,9,2022-09-22 10:20:43+00:00,9,1
03,03256,1,0,0,1,4,10,2022-09-22 10:20:43+00:00,10,4
03,03257,1,0,0,1,4,20,2022-09-22 10:20:43+00:00,20,4
03,03351,2,1,1,1,12,26,2022-09-22 10:20:43+00:00,19,9
03,03352,2,1,0,2,2,13,2022-09-22 10:20:43+00:00,13,2
03,03353,3,1,0,3,6,28,2022-09-22 10:20:43+00:00,28,6
03,03354,1,1,0,1,0,6,2022-09-22 10:20:43+00:00,6,0
03,03355,3,1,0,1,8,29,2022-09-22 10:20:43+00:00,18,2
03,03356,3,0,0,2,5,5,2022-09-22 10:20:43+00:00,5,5
03,03357,3,1,0,2,5,25,2022-09-22 10:20:43+00:00,23,3
03,03358,2,1,0,2,5,17,2022-09-22 10:20:43+00:00,17,5
03,03359,3,0,0,2,8,20,2022-09-22 10:20:43+00:00,20,5
03,03360,2,1,1,2,4,72,2022-09-22 10:20:43+00:00,72,4
03,03361,2,0,0,2,2,13,2022-09-22 10:20:43+00:00,13,2
03,03401,1,1,1,1,1,17,2022-09-22 10:20:43+00:00,17,1
03,03402,1,0,0,1,0,13,2022-09-22 10:20:43+00:00,13,0
03,03403,5,1,0,3,8,106,2022-09-22 10:20:43+00:00,90,6
03,03404,5,1,0,4,5,109,2022-09-22 10:20:43+00:00,94,4
03,03405,3,0,0,1,16,19,2022-09-22 10:20:43+00:00,17,2
03,03451,3,2,1,2,0,29,2022-09-22 10:20:43+00:00,29,0
03,03452,4,2,2,3,15,22,2022-09-22 10:20:43+00:00,20,9
03,03453,3,2,1,3,6,18,2022-09-22 10:20:43+00:00,18,6
03,03454,10,2,0,6,32,51,2022-09-22 10:20:43+00:00,43,16
03,03455,2,0,0,2,3,28,2022-09-22 10:20:43+00:00,28,3
03,03456,1,0,0,1,7,20,2022-09-22 10:20:43+00:00,20,7
03,03457,6,1,0,4,10,19,2022-09-22 10:20:43+00:00,19,5
03,03458,1,0,0,1,3,7,2022-09-22 10:20:43+00:00,7,3
03,03459,7,1,0,6,19,67,2022-09-22 10:20:43+00:00,67,19
03,03460,5,2,0,3,7,31,2022-09-22 10:20:43+00:00,27,3
03,03461,2,0,0,2,2,7,2022-09-22 10:20:43+00:00,7,2
03,03462,1,1,0,1,1,7,2022-09-22 10:20:43+00:00,7,1
04,04011,9,6,1,8,7,139,2022-09-22 10:20:43+00:00,126,4
04,04012,4,3,1,3,11,39,2022-09-22 10:20:43+00:00,32,10
05,05111,15,6,0,11,24,267,2022-09-22 10:20:43+00:00,238,8
05,05112,14,1,0,9,28,138,2022-09-22 10:20:43+00:00,117,23
05,05113,15,20,9,12,33,327,2022-09-22 10:20:43+00:00,307,27
05,05114,7,4,2,4,17,67,2022-09-22 10:20:43+00:00,59,15
05,05116,6,2,1,4,13,73,2022-09-22 10:20:43+00:00,67,12
05,05117,2,6,1,2,3,28,2022-09-22 10:20:43+00:00,28,3
05,05119,6,1,1,4,11,61,2022-09-22 10:20:43+00:00,47,6
05,05120,1,3,1,1,5,23,2022-09-22 10:20:43+00:00,23,5
05,05122,4,3,2,3,13,59,2022-09-22 10:20:43+00:00,55,13
05,05124,7,0,0,5,15,120,2022-09-22 10:20:43+00:00,109,12
05,05154,8,1,0,5,21,48,2022-09-22 10:20:43+00:00,48,13
05,05158,6,1,0,6,16,47,2022-09-22 10:20:43+00:00,47,16
05,05162,7,2,0,5,12,88,2022-09-22 10:20:43+00:00,77,9
05,05166,4,0,0,4,3,30,2022-09-22 10:20:43+00:00,30,3
05,05170,11,2,1,8,31,96,2022-09-22 10:20:43+00:00,94,22
05,05314,18,9,3,11,14,261,2022-09-22 10:20:43+00:00,210,7
05,05315,24,8,2,17,24,303,2022-09-22 10:20:43+00:00,264,23
05,05316,5,0,0,2,17,48,2022-09-22 10:20:43+00:00,35,12
05,05334,13,6,4,7,19,249,2022-09-22 10:20:43+00:00,238,15
05,05358,6,1,0,4,6,52,2022-09-22 10:20:43+00:00,48,2
05,05362,6,2,1,6,10,51,2022-09-22 10:20:43+00:00,51,10
05,05366,3,0,0,3,5,25,2022-09-22 10:20:43+00:00,25,5
05,05370,3,5,0,3,1,35,2022-09-22 10:20:43+00:00,35,1
05,05374,4,0,0,4,9,21,2022-09-22 10:20:43+00:00,21,9
05,05378,3,1,0,3,6,25,2022-09-22 10:20:43+00:00,25,6
05,05382,7,1,0,6,11,73,2022-09-22 10:20:43+00:00,59,11
05,05512,2,0,0,2,18,25,2022-09-22 10:20:43+00:00,25,18
05,05513,7,4,3,4,13,73,2022-09-22 10:20:43+00:00,64,3
05,05515,10,1,1,7,11,195,2022-09-22 10:20:43+00:00,179,9
05,05554,6,6,3,5,16,55,2022-09-22 10:20:43+00:00,55,14
05,05558,5,2,0,3,4,31,2022-09-22 10:20:43+00:00,21,4
05,05562,15,6,2,14,53,175,2022-09-22 10:20:43+00:00,151,45
05,05566,7,3,1,5,8,77,2022-09-22 10:20:43+00:00,66,5
05,05570,6,1,1,5,9,39,2022-09-22 10:20:43+00:00,38,6
05,05711,9,4,3,5,20,107,2022-09-22 10:20:43+00:00,86,15
05,05754,3,1,0,3,7,19,2022-09-22 10:20:43+00:00,19,7
05,05758,4,1,0,2,10,40,2022-09-22 10:20:43+00:00,34,6
05,05762,6,1,0,5,5,28,2022-09-22 10:20:43+00:00,24,5
05,05766,2,0,0,2,2,48,2022-09-22 10:20:43+00:00,48,2
05,05770,9,0,0,6,10,183,2022-09-22 10:20:43+00:00,161,5
05,05774,7,1,0,5,13,69,2022-09-22 10:20:43+00:00,61,6
05,05911,8,3,2,6,36,148,2022-09-22 10:20:43+00:00,130,33
05,05913,8,7,1,8,35,240,2022-09-22 10:20:43+00:00,240,35
05,05914,7,0,0,5,12,73,2022-09-22 10:20:43+00:00,70,5
05,05915,7,1,0,5,31,63,2022-09-22 10:20:43+00:00,52,20
05,05916,4,1,1,4,10,53,2022-09-22 10:20:43+00:00,53,10
05,05954,8,0,0,6,35,83,2022-09-22 10:20:43+00:00,61,28
05,05958,9,1,1,8,19,67,2022-09-22 10:20:43+00:00,64,16
05,05962,10,6,2,8,21,83,2022-09-22 10:20:43+00:00,80,16
05,05966,3,2,0,3,2,19,2022-09-22 10:20:43+00:00,19,2
05,05970,7,2,0,6,18,98,2022-09-22 10:20:43+00:00,92,8
05,05974,9,1,0,7,15,70,2022-09-22 10:20:43+00:00,60,11
05,05978,8,4,1,8,10,100,2022-09-22 10:20:43+00:00,100,10
06,06411,7,0,0,4,23,77,2022-09-22 10:20:43+00:00,51,4
06,06412,17,9,3,12,34,249,2022-09-22 10:20:43+00:00,224,30
06,06413,4,3,1,2,4,102,2022-09-22 10:20:43+00:00,91,1
06,06414,6,2,1,4,3,80,2022-09-22 10:20:43+00:00,72,3
06,06431,5,2,0,5,10,34,2022-09-22 10:20:43+00:00,34,10
06,06432,2,2,1,2,0,20,2022-09-22 10:20:43+00:00,20,0
06,06433,2,0,0,2,5,16,2022-09-22 10:20:43+00:00,16,5
06,06434,2,0,0,2,0,22,2022-09-22 10:20:43+00:00,22,0
06,06435,7,2,0,4,5,68,2022-09-22 10:20:43+00:00,59,0
06,06436,2,3,2,2,2,20,2022-09-22 10:20:43+00:00,20,2
06,06437,2,4,0,2,8,118,2022-09-22 10:20:43+00:00,118,8
06,06438,2,2,0,2,7,17,2022-09-22 10:20:43+00:00,17,7
06,06439,2,1,1,2,4,12,2022-09-22 10:20:43+00:00,12,4
06,06440,5,2,2,5,5,60,2022-09-22 10:20:43+00:00,60,5
06,06531,6,12,4,4,21,190,2022-09-22 10:20:43+00:00,173,19
06,06532,2,2,0,2,5,38,2022-09-22 10:20:43+00:00,38,5
06,06533,3,1,1,3,5,38,2022-09-22 10:20:43+00:00,38,5
06,06534,3,1,1,3,14,120,2022-09-22 10:20:43+00:00,120,14
06,06535,4,1,0,4,6,17,2022-09-22 10:20:43+00:00,17,6
06,06611,5,3,2,5,19,119,2022-09-22 10:20:43+00:00,119,19
06,06631,3,2,0,3,11,70,2022-09-22 10:20:43+00:00,70,11
06,06632,4,4,0,3,12,47,2022-09-22 10:20:43+00:00,41,11
06,06633,3,0,0,3,5,16,2022-09-22 10:20:43+00:00,16,5
06,06634,3,1,0,3,6,20,2022-09-22 10:20:43+00:00,20,6
06,06635,6,0,0,6,5,74,2022-09-22 10:20:43+00:00,74,5
06,06636,3,0,0,3,10,20,2022-09-22 10:20:43+00:00,20,10
07,07111,7,3,2,4,29,83,2022-09-22 10:20:43+00:00,68,24
07,07131,2,0,0,2,4,15,2022-09-22 10:20:43+00:00,15,4
07,07132,2,0,0,2,4,12,2022-09-22 10:20:43+00:00,12,4
07,07133,6,0,0,4,17,29,2022-09-22 10:20:43+00:00,22,10
07,07134,2,0,0,2,0,19,2022-09-22 10:20:43+00:00,19,0
07,07135,2,1,0,2,4,9,2022-09-22 10:20:43+00:00,9,4
07,07137,3,2,0,3,6,32,2022-09-22 10:20:43+00:00,32,6
07,07138,7,0,0,5,7,56,2022-09-22 10:20:43+00:00,42,2
07,07140,2,1,1,2,3,11,2022-09-22 10:20:43+00:00,11,3
07,07141,4,1,1,4,5,21,2022-09-22 10:20:43+00:00,21,5
