"gemeindeschluessel","anzahl_meldebereiche","faelle_covid_aktuell","faelle_covid_aktuell_beatmet","anzahl_standorte","betten_frei","betten_belegt","bundesland","daten_stand"
"01001",2,0,0,2,42,36,"01",2020-04-27
"01002",4,4,2,3,100,117,"01",2020-04-27
"01003",2,5,5,2,121,102,"01",2020-04-27
"01004",1,1,1,1,20,18,"01",2020-04-27
"01051",1,3,1,1,49,21,"01",2020-04-27
"01053",2,1,1,2,11,9,"01",2020-04-27
"01054",3,0,0,3,24,20,"01",2020-04-27
"01055",3,0,0,3,23,29,"01",2020-04-27
"01056",2,5,4,2,14,23,"01",2020-04-27
"01057",1,2,1,1,4,8,"01",2020-04-27
"01058",1,0,0,1,4,2,"01",2020-04-27
"01059",1,0,0,1,9,15,"01",2020-04-27
"01060",4,1,0,4,67,69,"01",2020-04-27
"01061",1,0,0,1,21,19,"01",2020-04-27
"01062",3,0,0,3,18,38,"01",2020-04-27
"02000",28,82,69,24,399,520,"02",2020-04-27
"03101",5,7,5,5,65,84,"03",2020-04-27
"03102",2,1,0,2,15,12,"03",2020-04-27
"03103",1,0,0,1,28,20,"03",2020-04-27
"03151",2,0,0,2,11,9,"03",2020-04-27
"03153",3,8,7,3,37,38,"03",2020-04-27
"03154",1,4,1,1,16,18,"03",2020-04-27
"03155",2,3,2,2,10,13,"03",2020-04-27
"03157",1,1,1,1,5,17,"03",2020-04-27
"03158",1,4,4,1,5,11,"03",2020-04-27
"03159",6,15,7,6,70,123,"03",2020-04-27
"03241",16,39,31,16,163,348,"03",2020-04-27
"03251",3,2,1,3,13,7,"03",2020-04-27
"03252",4,4,1,4,16,56,"03",2020-04-27
"03254",5,8,3,4,61,49,"03",2020-04-27
"03255",1,0,0,1,2,12,"03",2020-04-27
"03256",1,0,0,1,19,17,"03",2020-04-27
"03257",1,2,0,1,0,23,"03",2020-04-27
"03351",3,1,0,1,27,20,"03",2020-04-27
"03352",2,1,0,2,11,7,"03",2020-04-27
"03353",3,4,2,3,32,32,"03",2020-04-27
"03354",1,0,0,1,24,3,"03",2020-04-27
"03355",2,0,0,2,23,20,"03",2020-04-27
"03356",2,1,1,2,3,13,"03",2020-04-27
"03357",3,2,2,2,10,16,"03",2020-04-27
"03358",3,2,1,3,19,23,"03",2020-04-27
"03359",2,0,0,2,15,23,"03",2020-04-27
"03360",2,2,1,2,18,10,"03",2020-04-27
"03361",2,1,1,2,10,7,"03",2020-04-27
"03401",1,2,2,1,18,9,"03",2020-04-27
"03402",1,2,0,1,10,11,"03",2020-04-27
"03403",4,8,7,3,116,77,"03",2020-04-27
"03404",4,11,10,4,80,66,"03",2020-04-27
"03405",1,0,0,1,11,22,"03",2020-04-27
"03451",2,4,4,2,14,6,"03",2020-04-27
"03452",3,0,0,3,16,26,"03",2020-04-27
"03453",3,0,0,3,24,25,"03",2020-04-27
"03454",6,7,7,6,57,53,"03",2020-04-27
"03455",2,3,2,2,12,6,"03",2020-04-27
"03456",1,5,4,1,20,18,"03",2020-04-27
"03457",3,1,0,2,19,24,"03",2020-04-27
"03458",1,1,1,1,8,7,"03",2020-04-27
"03459",8,0,0,7,70,55,"03",2020-04-27
"03460",3,4,0,3,46,21,"03",2020-04-27
"03461",1,0,0,1,5,1,"03",2020-04-27
"03462",1,0,0,1,6,7,"03",2020-04-27
"04011",9,10,7,9,84,100,"04",2020-04-27
"04012",1,3,2,1,18,28,"04",2020-04-27
"05111",12,22,19,11,80,230,"05",2020-04-27
"05112",13,11,11,9,93,174,"05",2020-04-27
"05113",15,30,26,14,109,259,"05",2020-04-27
"05114",4,14,9,4,22,68,"05",2020-04-27
"05116",5,12,8,4,43,80,"05",2020-04-27
"05117",2,6,5,2,16,32,"05",2020-04-27
"05119",5,1,0,4,27,35,"05",2020-04-27
"05120",1,4,3,1,14,22,"05",2020-04-27
"05122",3,8,6,3,37,56,"05",2020-04-27
"05124",5,13,10,5,115,101,"05",2020-04-27
"05154",5,7,4,5,36,41,"05",2020-04-27
"05158",5,6,6,5,35,40,"05",2020-04-27
"05162",7,12,10,6,48,77,"05",2020-04-27
"05166",4,6,5,4,21,38,"05",2020-04-27
"05170",8,9,6,8,57,103,"05",2020-04-27
"05314",13,18,15,10,62,186,"05",2020-04-27
"05315",25,48,34,18,96,319,"05",2020-04-27
"05316",3,2,2,2,37,47,"05",2020-04-27
"05334",6,16,13,6,60,84,"05",2020-04-27
"05358",5,10,5,5,21,63,"05",2020-04-27
"05362",7,8,5,7,32,52,"05",2020-04-27
