bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,0,0,2,5,37,2022-08-24 13:51:39+00:00,35,0
01,01002,7,1,1,3,20,110,2022-08-24 13:51:39+00:00,90,17
01,01003,3,4,1,2,6,111,2022-08-24 13:51:39+00:00,91,2
01,01004,1,0,0,1,5,20,2022-08-24 13:51:39+00:00,20,5
01,01051,1,1,0,1,4,36,2022-08-24 13:51:39+00:00,36,4
01,01053,2,0,0,2,1,15,2022-08-24 13:51:39+00:00,15,1
01,01054,3,1,1,3,2,20,2022-08-24 13:51:39+00:00,20,2
01,01055,3,4,1,3,6,38,2022-08-24 13:51:39+00:00,38,6
01,01056,2,1,1,2,3,30,2022-08-24 13:51:39+00:00,30,3
01,01057,1,0,0,1,6,6,2022-08-24 13:51:39+00:00,6,6
01,01058,5,2,2,3,18,25,2022-08-24 13:51:39+00:00,23,14
01,01059,1,1,0,1,0,24,2022-08-24 13:51:39+00:00,24,0
01,01060,3,1,1,3,28,56,2022-08-24 13:51:39+00:00,56,28
01,01061,3,0,0,1,8,35,2022-08-24 13:51:39+00:00,22,8
01,01062,3,1,1,3,8,24,2022-08-24 13:51:39+00:00,24,8
02,02000,33,27,14,23,108,408,2022-08-24 13:51:39+00:00,351,63
03,03101,7,5,3,5,33,99,2022-08-24 13:51:39+00:00,87,28
03,03102,2,0,0,2,4,24,2022-08-24 13:51:39+00:00,24,4
03,03103,3,2,1,1,7,23,2022-08-24 13:51:39+00:00,19,1
03,03151,1,1,1,1,0,12,2022-08-24 13:51:39+00:00,12,0
03,03153,3,1,1,3,3,19,2022-08-24 13:51:39+00:00,19,3
03,03154,1,0,0,1,1,11,2022-08-24 13:51:39+00:00,11,1
03,03155,2,0,0,2,1,20,2022-08-24 13:51:39+00:00,20,1
03,03157,1,0,0,1,0,14,2022-08-24 13:51:39+00:00,14,0
03,03158,1,4,1,1,5,11,2022-08-24 13:51:39+00:00,11,5
03,03159,8,4,0,7,27,118,2022-08-24 13:51:39+00:00,105,24
03,03241,19,13,8,16,45,348,2022-08-24 13:51:39+00:00,301,31
03,03251,3,0,0,3,3,14,2022-08-24 13:51:39+00:00,14,3
03,03252,6,2,0,4,11,55,2022-08-24 13:51:39+00:00,55,5
03,03254,7,3,1,4,24,50,2022-08-24 13:51:39+00:00,44,18
03,03255,1,0,0,1,3,7,2022-08-24 13:51:39+00:00,7,3
03,03256,1,1,0,1,2,14,2022-08-24 13:51:39+00:00,14,2
03,03257,1,0,0,1,1,23,2022-08-24 13:51:39+00:00,23,1
03,03351,2,1,0,1,5,29,2022-08-24 13:51:39+00:00,24,0
03,03352,2,1,1,2,7,8,2022-08-24 13:51:39+00:00,8,7
03,03353,3,2,0,3,5,26,2022-08-24 13:51:39+00:00,26,5
03,03354,1,1,1,1,1,5,2022-08-24 13:51:39+00:00,5,1
03,03355,3,0,0,1,7,30,2022-08-24 13:51:39+00:00,18,2
03,03356,3,0,0,2,3,7,2022-08-24 13:51:39+00:00,7,3
03,03357,3,2,1,2,3,27,2022-08-24 13:51:39+00:00,25,1
03,03358,2,1,1,2,3,19,2022-08-24 13:51:39+00:00,19,3
03,03359,3,2,2,2,5,23,2022-08-24 13:51:39+00:00,22,3
03,03360,2,0,0,2,9,67,2022-08-24 13:51:39+00:00,67,9
03,03361,2,1,0,2,2,13,2022-08-24 13:51:39+00:00,13,2
03,03401,1,1,0,1,0,12,2022-08-24 13:51:39+00:00,12,0
03,03402,1,0,0,1,0,13,2022-08-24 13:51:39+00:00,13,0
03,03403,5,3,2,3,7,113,2022-08-24 13:51:39+00:00,98,3
03,03404,5,2,0,4,12,100,2022-08-24 13:51:39+00:00,86,10
03,03405,2,1,0,1,5,19,2022-08-24 13:51:39+00:00,16,0
03,03451,3,0,0,2,7,26,2022-08-24 13:51:39+00:00,26,7
03,03452,4,1,1,3,6,31,2022-08-24 13:51:39+00:00,27,2
03,03453,3,2,1,3,4,19,2022-08-24 13:51:39+00:00,19,4
03,03454,10,2,0,6,20,61,2022-08-24 13:51:39+00:00,45,12
03,03455,2,0,0,2,9,22,2022-08-24 13:51:39+00:00,22,9
03,03456,1,1,1,1,2,25,2022-08-24 13:51:39+00:00,25,2
03,03457,6,2,1,4,11,16,2022-08-24 13:51:39+00:00,16,6
03,03458,1,0,0,1,0,7,2022-08-24 13:51:39+00:00,7,0
03,03459,7,0,0,6,21,69,2022-08-24 13:51:39+00:00,69,21
03,03460,5,0,0,3,14,22,2022-08-24 13:51:39+00:00,19,9
03,03461,2,1,1,2,4,6,2022-08-24 13:51:39+00:00,6,4
03,03462,1,0,0,1,1,7,2022-08-24 13:51:39+00:00,7,1
04,04011,9,6,3,8,6,141,2022-08-24 13:51:39+00:00,127,4
04,04012,4,0,0,3,21,32,2022-08-24 13:51:39+00:00,27,14
05,05111,14,12,8,11,19,265,2022-08-24 13:51:39+00:00,238,8
05,05112,15,10,4,9,33,135,2022-08-24 13:51:39+00:00,119,24
05,05113,15,26,11,12,46,307,2022-08-24 13:51:39+00:00,292,33
05,05114,7,1,1,4,16,66,2022-08-24 13:51:39+00:00,57,15
05,05116,6,3,2,4,6,81,2022-08-24 13:51:39+00:00,76,4
05,05117,2,4,2,2,1,32,2022-08-24 13:51:39+00:00,32,1
05,05119,6,6,4,4,9,59,2022-08-24 13:51:39+00:00,44,5
05,05120,1,2,0,1,8,20,2022-08-24 13:51:39+00:00,20,8
05,05122,4,6,3,3,11,61,2022-08-24 13:51:39+00:00,57,11
05,05124,7,1,0,5,20,114,2022-08-24 13:51:39+00:00,105,15
05,05154,8,2,1,5,17,52,2022-08-24 13:51:39+00:00,51,10
05,05158,6,2,1,6,18,42,2022-08-24 13:51:39+00:00,42,18
05,05162,7,4,1,5,12,88,2022-08-24 13:51:39+00:00,77,9
05,05166,4,1,0,4,8,28,2022-08-24 13:51:39+00:00,28,8
05,05170,10,8,2,8,21,94,2022-08-24 13:51:39+00:00,93,11
05,05314,18,8,7,11,26,253,2022-08-24 13:51:39+00:00,201,17
05,05315,24,17,5,17,23,302,2022-08-24 13:51:39+00:00,268,17
05,05316,5,2,1,2,12,57,2022-08-24 13:51:39+00:00,45,6
05,05334,13,7,4,7,14,249,2022-08-24 13:51:39+00:00,235,10
05,05358,6,4,1,4,9,55,2022-08-24 13:51:39+00:00,50,6
05,05362,6,4,1,6,16,44,2022-08-24 13:51:39+00:00,44,16
05,05366,3,3,1,3,4,26,2022-08-24 13:51:39+00:00,26,4
05,05370,3,1,0,3,2,34,2022-08-24 13:51:39+00:00,34,2
05,05374,4,2,1,4,12,37,2022-08-24 13:51:39+00:00,37,12
05,05378,4,5,1,4,1,38,2022-08-24 13:51:39+00:00,38,1
05,05382,7,1,0,6,7,73,2022-08-24 13:51:39+00:00,64,5
