bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,3,1,2,7,35,2022-02-28 09:50:39+00:00,30,5
01,01002,7,9,3,3,25,109,2022-02-28 09:50:39+00:00,95,16
01,01003,3,4,2,2,7,116,2022-02-28 09:50:39+00:00,97,5
01,01004,1,1,1,1,5,20,2022-02-28 09:50:39+00:00,20,5
01,01051,1,1,0,1,2,38,2022-02-28 09:50:39+00:00,38,2
01,01053,2,1,0,2,2,14,2022-02-28 09:50:39+00:00,14,2
01,01054,3,2,1,3,11,13,2022-02-28 09:50:39+00:00,13,11
01,01055,3,3,0,3,14,32,2022-02-28 09:50:39+00:00,32,14
01,01056,2,1,1,2,5,30,2022-02-28 09:50:39+00:00,30,5
01,01057,1,2,2,1,6,6,2022-02-28 09:50:39+00:00,6,6
01,01058,5,1,1,3,18,27,2022-02-28 09:50:39+00:00,25,14
01,01059,1,0,0,1,4,20,2022-02-28 09:50:39+00:00,20,4
01,01060,3,3,2,3,26,55,2022-02-28 09:50:39+00:00,55,26
01,01061,3,0,0,1,14,29,2022-02-28 09:50:39+00:00,24,6
01,01062,3,6,4,3,4,22,2022-02-28 09:50:39+00:00,22,4
02,02000,34,50,31,24,121,461,2022-02-28 09:50:39+00:00,394,79
03,03101,7,2,0,5,37,95,2022-02-28 09:50:39+00:00,86,29
03,03102,2,3,1,2,2,27,2022-02-28 09:50:39+00:00,27,2
03,03103,3,1,1,1,6,25,2022-02-28 09:50:39+00:00,17,5
03,03151,1,2,2,1,1,11,2022-02-28 09:50:39+00:00,11,1
03,03153,3,1,0,3,4,20,2022-02-28 09:50:39+00:00,20,4
03,03154,1,3,2,1,0,14,2022-02-28 09:50:39+00:00,14,0
03,03155,2,2,2,2,5,13,2022-02-28 09:50:39+00:00,13,5
