bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,5,3,2,4,36,2022-10-29 10:21:23+00:00,32,1
01,01002,7,2,1,3,21,113,2022-10-29 10:21:23+00:00,96,14
01,01003,3,8,2,2,6,109,2022-10-29 10:21:23+00:00,89,2
01,01004,1,2,0,1,0,23,2022-10-29 10:21:23+00:00,23,0
01,01051,1,0,0,1,3,35,2022-10-29 10:21:23+00:00,35,3
01,01053,2,0,0,2,1,15,2022-10-29 10:21:23+00:00,15,1
01,01054,3,1,0,3,7,17,2022-10-29 10:21:23+00:00,17,7
01,01055,3,5,2,3,3,37,2022-10-29 10:21:23+00:00,37,3
01,01056,2,2,1,2,4,30,2022-10-29 10:21:23+00:00,30,4
01,01057,1,0,0,1,8,4,2022-10-29 10:21:23+00:00,4,8
01,01058,5,3,1,3,12,30,2022-10-29 10:21:23+00:00,28,9
01,01059,1,0,0,1,1,23,2022-10-29 10:21:23+00:00,23,1
01,01060,3,5,2,3,24,55,2022-10-29 10:21:23+00:00,55,24
01,01061,3,2,1,1,11,32,2022-10-29 10:21:23+00:00,25,5
01,01062,3,0,0,3,5,23,2022-10-29 10:21:23+00:00,23,5
02,02000,34,25,14,24,92,430,2022-10-29 10:21:23+00:00,370,51
03,03101,7,2,1,5,40,92,2022-10-29 10:21:23+00:00,82,33
03,03102,2,1,1,2,0,28,2022-10-29 10:21:23+00:00,28,0
03,03103,3,2,1,1,5,23,2022-10-29 10:21:23+00:00,17,1
03,03151,1,1,0,1,1,11,2022-10-29 10:21:23+00:00,11,1
03,03153,3,3,0,3,2,20,2022-10-29 10:21:23+00:00,20,2
03,03154,1,1,0,1,0,9,2022-10-29 10:21:23+00:00,9,0
03,03155,2,2,0,2,5,15,2022-10-29 10:21:23+00:00,15,5
03,03157,1,0,0,1,0,14,2022-10-29 10:21:23+00:00,14,0
03,03158,1,2,0,1,7,9,2022-10-29 10:21:23+00:00,9,7
03,03159,7,9,2,6,22,103,2022-10-29 10:21:23+00:00,94,20
03,03241,19,6,4,16,54,313,2022-10-29 10:21:23+00:00,266,45
03,03251,3,2,0,3,3,14,2022-10-29 10:21:23+00:00,14,3
03,03252,6,2,2,4,13,53,2022-10-29 10:21:23+00:00,52,8
03,03254,7,5,1,4,11,61,2022-10-29 10:21:23+00:00,51,9
03,03255,1,2,2,1,0,9,2022-10-29 10:21:23+00:00,9,0
03,03256,1,2,2,1,2,14,2022-10-29 10:21:23+00:00,14,2
03,03257,1,0,0,1,6,18,2022-10-29 10:21:23+00:00,18,6
03,03351,2,5,1,1,8,22,2022-10-29 10:21:23+00:00,17,3
03,03352,2,3,0,2,6,9,2022-10-29 10:21:23+00:00,9,6
03,03353,3,3,0,3,1,26,2022-10-29 10:21:23+00:00,26,1
03,03354,1,0,0,1,0,5,2022-10-29 10:21:23+00:00,5,0
03,03355,3,1,0,1,4,33,2022-10-29 10:21:23+00:00,18,2
03,03356,3,0,0,2,3,7,2022-10-29 10:21:23+00:00,7,3
