bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,3,1,2,2,38,2022-10-10 10:20:57+00:00,33,0
01,01002,7,2,1,3,25,110,2022-10-10 10:20:57+00:00,91,20
01,01003,3,7,1,2,9,107,2022-10-10 10:20:57+00:00,88,4
01,01004,1,2,0,1,3,20,2022-10-10 10:20:57+00:00,20,3
01,01051,1,3,3,1,3,37,2022-10-10 10:20:57+00:00,37,3
01,01053,2,1,0,2,3,13,2022-10-10 10:20:57+00:00,13,3
01,01054,3,3,1,3,4,15,2022-10-10 10:20:57+00:00,15,4
01,01055,3,6,0,3,3,40,2022-10-10 10:20:57+00:00,40,3
01,01056,2,3,2,2,5,31,2022-10-10 10:20:57+00:00,31,5
01,01057,1,2,0,1,1,11,2022-10-10 10:20:57+00:00,11,1
01,01058,5,1,0,3,12,31,2022-10-10 10:20:57+00:00,28,9
01,01059,1,0,0,1,2,22,2022-10-10 10:20:57+00:00,22,2
01,01060,3,10,7,3,11,73,2022-10-10 10:20:57+00:00,73,11
01,01061,3,1,0,1,10,33,2022-10-10 10:20:57+00:00,22,8
01,01062,3,0,0,3,8,24,2022-10-10 10:20:57+00:00,24,8
02,02000,34,17,9,24,89,442,2022-10-10 10:20:57+00:00,376,54
03,03101,7,7,1,5,31,101,2022-10-10 10:20:57+00:00,89,26
03,03102,2,3,2,2,2,26,2022-10-10 10:20:57+00:00,26,2
03,03103,3,1,1,1,12,16,2022-10-10 10:20:57+00:00,9,9
03,03151,1,0,0,1,0,14,2022-10-10 10:20:57+00:00,14,0
03,03153,3,2,1,3,0,20,2022-10-10 10:20:57+00:00,20,0
03,03154,1,1,1,1,1,8,2022-10-10 10:20:57+00:00,8,1
03,03155,2,0,0,2,7,13,2022-10-10 10:20:57+00:00,13,7
03,03157,1,0,0,1,4,10,2022-10-10 10:20:57+00:00,10,4
03,03158,1,3,0,1,7,9,2022-10-10 10:20:57+00:00,9,7
03,03159,8,11,5,7,25,112,2022-10-10 10:20:57+00:00,100,23
03,03241,19,9,4,16,45,334,2022-10-10 10:20:57+00:00,288,35
03,03251,3,0,0,3,8,9,2022-10-10 10:20:57+00:00,9,8
03,03252,6,0,0,4,13,50,2022-10-10 10:20:57+00:00,50,7
03,03254,7,3,2,4,18,52,2022-10-10 10:20:57+00:00,44,14
03,03255,1,1,0,1,0,9,2022-10-10 10:20:57+00:00,9,0
03,03256,1,2,1,1,0,16,2022-10-10 10:20:57+00:00,16,0
03,03257,1,1,1,1,2,22,2022-10-10 10:20:57+00:00,22,2
03,03351,2,1,1,1,4,29,2022-10-10 10:20:57+00:00,22,1
03,03352,2,1,0,2,2,10,2022-10-10 10:20:57+00:00,10,2
03,03353,3,2,0,3,8,26,2022-10-10 10:20:57+00:00,26,8
03,03354,1,0,0,1,1,5,2022-10-10 10:20:57+00:00,5,1
03,03355,3,0,0,1,4,32,2022-10-10 10:20:57+00:00,19,1
03,03356,3,1,0,2,2,8,2022-10-10 10:20:57+00:00,8,2
03,03357,3,6,3,2,4,26,2022-10-10 10:20:57+00:00,25,1
03,03358,2,3,1,2,2,20,2022-10-10 10:20:57+00:00,20,2
03,03359,3,2,1,2,6,23,2022-10-10 10:20:57+00:00,23,3
03,03360,2,4,1,2,2,74,2022-10-10 10:20:57+00:00,74,2
03,03361,2,4,1,2,2,11,2022-10-10 10:20:57+00:00,11,2
03,03401,1,1,0,1,6,16,2022-10-10 10:20:57+00:00,16,6
03,03402,1,1,0,1,0,13,2022-10-10 10:20:57+00:00,13,0
03,03403,5,2,1,3,12,101,2022-10-10 10:20:57+00:00,89,4
03,03404,5,4,2,4,6,102,2022-10-10 10:20:57+00:00,87,5
03,03405,2,2,1,1,9,18,2022-10-10 10:20:57+00:00,18,1
03,03451,3,1,0,2,0,27,2022-10-10 10:20:57+00:00,27,0
03,03452,4,3,1,3,10,28,2022-10-10 10:20:57+00:00,25,3
03,03453,3,2,0,3,5,18,2022-10-10 10:20:57+00:00,18,5
03,03454,10,5,0,6,37,43,2022-10-10 10:20:57+00:00,35,21
03,03455,2,0,0,2,4,27,2022-10-10 10:20:57+00:00,27,4
03,03456,1,3,1,1,3,20,2022-10-10 10:20:57+00:00,20,3
03,03457,6,4,2,4,8,19,2022-10-10 10:20:57+00:00,19,3
03,03458,1,0,0,1,0,6,2022-10-10 10:20:57+00:00,6,0
03,03459,7,4,1,6,11,74,2022-10-10 10:20:57+00:00,74,11
03,03460,5,2,0,3,8,28,2022-10-10 10:20:57+00:00,24,4
03,03461,2,0,0,2,2,8,2022-10-10 10:20:57+00:00,8,2
03,03462,1,1,1,1,0,8,2022-10-10 10:20:57+00:00,8,0
04,04011,9,13,3,8,4,139,2022-10-10 10:20:57+00:00,124,3
04,04012,4,5,1,3,5,42,2022-10-10 10:20:57+00:00,32,3
05,05111,15,10,2,11,25,252,2022-10-10 10:20:57+00:00,225,13
05,05112,15,2,1,9,34,129,2022-10-10 10:20:57+00:00,112,26
05,05113,15,25,12,12,31,313,2022-10-10 10:20:57+00:00,294,25
05,05114,7,8,3,4,13,72,2022-10-10 10:20:57+00:00,61,13
05,05116,6,6,0,4,15,74,2022-10-10 10:20:57+00:00,70,12
05,05117,2,3,1,2,3,29,2022-10-10 10:20:57+00:00,29,3
05,05119,6,6,2,4,22,44,2022-10-10 10:20:57+00:00,33,14
05,05120,1,4,3,1,4,24,2022-10-10 10:20:57+00:00,24,4
05,05122,4,7,3,3,12,59,2022-10-10 10:20:57+00:00,57,10
05,05124,7,10,2,5,22,113,2022-10-10 10:20:57+00:00,105,16
05,05154,8,5,1,5,12,48,2022-10-10 10:20:57+00:00,47,6
05,05158,5,5,1,5,12,30,2022-10-10 10:20:57+00:00,30,12
05,05162,7,2,0,5,6,93,2022-10-10 10:20:57+00:00,82,3
05,05166,4,1,0,4,5,30,2022-10-10 10:20:57+00:00,30,5
05,05170,10,12,4,8,25,91,2022-10-10 10:20:57+00:00,91,14
05,05314,17,13,3,10,14,231,2022-10-10 10:20:57+00:00,180,8
05,05315,24,25,8,17,16,296,2022-10-10 10:20:57+00:00,259,14
05,05316,5,3,1,2,19,48,2022-10-10 10:20:57+00:00,37,12
05,05334,13,8,2,7,14,250,2022-10-10 10:20:57+00:00,237,10
05,05358,6,5,1,4,9,46,2022-10-10 10:20:57+00:00,43,4
05,05362,6,10,3,6,9,53,2022-10-10 10:20:57+00:00,53,9
05,05366,3,2,1,3,2,26,2022-10-10 10:20:57+00:00,26,2
05,05370,3,1,1,3,3,31,2022-10-10 10:20:57+00:00,31,3
05,05374,4,1,0,4,4,26,2022-10-10 10:20:57+00:00,26,4
05,05378,3,0,0,3,3,26,2022-10-10 10:20:57+00:00,26,3
05,05382,7,6,1,6,14,72,2022-10-10 10:20:57+00:00,64,10
05,05512,2,0,0,2,22,21,2022-10-10 10:20:57+00:00,21,22
05,05513,7,4,3,4,13,75,2022-10-10 10:20:57+00:00,64,2
05,05515,10,6,2,7,14,192,2022-10-10 10:20:57+00:00,179,11
05,05554,6,6,3,5,21,52,2022-10-10 10:20:57+00:00,52,19
05,05558,5,3,1,3,8,26,2022-10-10 10:20:57+00:00,16,8
05,05562,14,13,4,13,43,170,2022-10-10 10:20:57+00:00,145,36
05,05566,7,5,2,5,12,74,2022-10-10 10:20:57+00:00,61,10
05,05570,6,6,0,5,14,34,2022-10-10 10:20:57+00:00,34,10
05,05711,9,3,1,5,15,109,2022-10-10 10:20:57+00:00,89,9
05,05754,3,3,0,3,2,26,2022-10-10 10:20:57+00:00,26,2
05,05758,4,2,0,2,16,34,2022-10-10 10:20:57+00:00,28,12
05,05762,6,1,1,5,7,27,2022-10-10 10:20:57+00:00,23,7
05,05766,2,2,1,2,2,48,2022-10-10 10:20:57+00:00,48,2
05,05770,9,6,1,6,14,180,2022-10-10 10:20:57+00:00,159,8
05,05774,7,4,0,5,20,55,2022-10-10 10:20:57+00:00,47,13
05,05911,8,13,1,6,21,158,2022-10-10 10:20:57+00:00,142,16
05,05913,8,7,2,8,19,238,2022-10-10 10:20:57+00:00,238,19
05,05914,7,3,1,5,8,71,2022-10-10 10:20:57+00:00,67,2
05,05915,7,2,0,5,26,57,2022-10-10 10:20:57+00:00,49,12
05,05916,4,2,1,4,16,47,2022-10-10 10:20:57+00:00,47,16
05,05954,8,5,0,6,27,91,2022-10-10 10:20:57+00:00,67,22
05,05958,9,7,3,8,24,63,2022-10-10 10:20:57+00:00,61,20
05,05962,10,12,5,8,19,83,2022-10-10 10:20:57+00:00,79,15
05,05966,3,2,2,3,8,18,2022-10-10 10:20:57+00:00,18,8
05,05970,6,4,1,5,9,92,2022-10-10 10:20:57+00:00,83,2
05,05974,9,7,0,7,11,77,2022-10-10 10:20:57+00:00,69,5
05,05978,8,6,0,8,8,98,2022-10-10 10:20:57+00:00,98,8
06,06411,7,8,2,4,17,86,2022-10-10 10:20:57+00:00,53,3
06,06412,17,27,7,12,27,257,2022-10-10 10:20:57+00:00,231,24
06,06413,4,2,1,2,14,91,2022-10-10 10:20:57+00:00,84,7
06,06414,6,5,2,4,3,69,2022-10-10 10:20:57+00:00,61,3
06,06431,5,5,0,5,7,34,2022-10-10 10:20:57+00:00,34,7
06,06432,2,2,1,2,0,22,2022-10-10 10:20:57+00:00,22,0
06,06433,2,4,1,2,0,19,2022-10-10 10:20:57+00:00,19,0
06,06434,2,1,1,2,0,17,2022-10-10 10:20:57+00:00,17,0
06,06435,7,8,0,4,3,71,2022-10-10 10:20:57+00:00,59,1
06,06436,2,0,0,2,0,21,2022-10-10 10:20:57+00:00,21,0
06,06437,2,7,1,2,5,121,2022-10-10 10:20:57+00:00,121,5
06,06438,2,3,1,2,5,18,2022-10-10 10:20:57+00:00,18,5
06,06439,2,2,1,2,1,15,2022-10-10 10:20:57+00:00,15,1
06,06440,5,5,4,5,5,56,2022-10-10 10:20:57+00:00,56,5
06,06531,6,17,6,4,20,187,2022-10-10 10:20:57+00:00,169,19
06,06532,2,1,0,2,3,38,2022-10-10 10:20:57+00:00,38,3
06,06533,3,7,2,3,3,43,2022-10-10 10:20:57+00:00,43,3
06,06534,3,9,1,3,15,113,2022-10-10 10:20:57+00:00,113,15
06,06535,4,1,1,4,9,12,2022-10-10 10:20:57+00:00,12,9
06,06611,5,12,4,5,22,108,2022-10-10 10:20:57+00:00,108,22
06,06631,3,7,4,3,13,68,2022-10-10 10:20:57+00:00,68,13
06,06632,4,3,0,3,15,39,2022-10-10 10:20:57+00:00,36,11
06,06633,3,0,0,3,2,17,2022-10-10 10:20:57+00:00,17,2
06,06634,3,1,0,3,12,17,2022-10-10 10:20:57+00:00,17,12
06,06635,6,3,1,6,7,72,2022-10-10 10:20:57+00:00,72,7
06,06636,3,1,0,3,13,17,2022-10-10 10:20:57+00:00,17,13
07,07111,7,11,1,4,21,94,2022-10-10 10:20:57+00:00,82,15
07,07131,2,1,0,2,2,15,2022-10-10 10:20:57+00:00,15,2
07,07132,2,2,0,2,7,9,2022-10-10 10:20:57+00:00,9,7
07,07133,6,5,0,4,10,34,2022-10-10 10:20:57+00:00,27,3
07,07134,2,2,0,2,0,18,2022-10-10 10:20:57+00:00,18,0
07,07135,2,4,0,2,3,8,2022-10-10 10:20:57+00:00,8,3
07,07137,3,4,1,3,14,24,2022-10-10 10:20:57+00:00,24,14
07,07138,7,7,2,5,7,54,2022-10-10 10:20:57+00:00,41,4
07,07140,2,3,0,2,6,8,2022-10-10 10:20:57+00:00,8,6
07,07141,4,2,2,4,4,23,2022-10-10 10:20:57+00:00,23,4
07,07143,4,4,3,4,7,16,2022-10-10 10:20:57+00:00,16,7
07,07211,5,5,2,2,16,61,2022-10-10 10:20:57+00:00,54,11
07,07231,2,4,0,2,1,19,2022-10-10 10:20:57+00:00,19,1
07,07232,2,1,0,2,5,9,2022-10-10 10:20:57+00:00,9,5
07,07233,2,1,0,2,7,9,2022-10-10 10:20:57+00:00,9,7
07,07235,2,3,0,2,2,8,2022-10-10 10:20:57+00:00,8,2
07,07311,1,2,0,1,4,9,2022-10-10 10:20:57+00:00,9,4
07,07312,3,7,1,1,18,91,2022-10-10 10:20:57+00:00,83,13
07,07313,3,2,0,2,4,19,2022-10-10 10:20:57+00:00,18,0
07,07314,6,7,2,4,10,93,2022-10-10 10:20:57+00:00,79,8
07,07315,2,9,3,2,6,80,2022-10-10 10:20:57+00:00,80,6
07,07316,1,0,0,1,0,17,2022-10-10 10:20:57+00:00,17,0
07,07317,2,2,0,1,5,11,2022-10-10 10:20:57+00:00,10,2
07,07318,3,5,2,2,0,28,2022-10-10 10:20:57+00:00,27,0
07,07319,3,4,0,1,8,44,2022-10-10 10:20:57+00:00,28,2
07,07320,1,0,0,1,4,6,2022-10-10 10:20:57+00:00,6,4
07,07331,1,1,0,1,0,6,2022-10-10 10:20:57+00:00,6,0
07,07332,2,2,0,2,3,10,2022-10-10 10:20:57+00:00,10,3
07,07333,2,2,0,2,6,6,2022-10-10 10:20:57+00:00,6,6
07,07334,2,0,0,2,1,16,2022-10-10 10:20:57+00:00,16,1
07,07335,1,1,1,1,6,4,2022-10-10 10:20:57+00:00,4,6
07,07336,1,1,0,1,0,16,2022-10-10 10:20:57+00:00,16,0
07,07337,2,0,0,2,1,8,2022-10-10 10:20:57+00:00,8,1
07,07339,1,1,0,1,0,8,2022-10-10 10:20:57+00:00,8,0
07,07340,1,1,0,1,9,2,2022-10-10 10:20:57+00:00,2,9
08,08111,13,20,6,10,47,211,2022-10-10 10:20:57+00:00,194,42
08,08115,6,4,1,4,8,40,2022-10-10 10:20:57+00:00,31,3
08,08116,8,9,4,4,13,70,2022-10-10 10:20:57+00:00,63,4
08,08117,4,5,2,2,12,22,2022-10-10 10:20:57+00:00,19,3
08,08118,4,0,0,3,1,64,2022-10-10 10:20:57+00:00,64,1
08,08119,4,5,0,2,16,46,2022-10-10 10:20:57+00:00,39,10
08,08121,3,2,0,1,10,44,2022-10-10 10:20:57+00:00,34,6
08,08125,2,7,2,2,5,39,2022-10-10 10:20:57+00:00,39,5
08,08126,1,1,0,1,0,5,2022-10-10 10:20:57+00:00,5,0
08,08127,4,2,0,2,6,38,2022-10-10 10:20:57+00:00,32,4
08,08128,4,1,0,3,23,31,2022-10-10 10:20:57+00:00,27,11
08,08135,2,1,0,1,7,13,2022-10-10 10:20:57+00:00,12,2
08,08136,8,5,1,4,12,53,2022-10-10 10:20:57+00:00,43,4
08,08211,3,3,1,1,6,16,2022-10-10 10:20:57+00:00,9,3
08,08212,6,7,4,4,5,99,2022-10-10 10:20:57+00:00,88,4
08,08215,3,3,0,3,2,35,2022-10-10 10:20:57+00:00,35,2
08,08216,1,0,0,1,0,9,2022-10-10 10:20:57+00:00,9,0
08,08221,8,15,4,6,8,201,2022-10-10 10:20:57+00:00,173,4
08,08222,6,11,5,3,6,95,2022-10-10 10:20:57+00:00,78,0
08,08225,3,7,1,3,5,16,2022-10-10 10:20:57+00:00,16,5
08,08226,4,6,0,4,5,35,2022-10-10 10:20:57+00:00,35,5
08,08231,4,3,1,2,9,39,2022-10-10 10:20:57+00:00,33,5
08,08235,2,3,0,2,0,20,2022-10-10 10:20:57+00:00,20,0
08,08236,2,0,0,2,3,9,2022-10-10 10:20:57+00:00,9,3
08,08237,1,2,2,1,4,8,2022-10-10 10:20:57+00:00,8,4
08,08311,7,11,3,4,37,157,2022-10-10 10:20:57+00:00,134,24
08,08315,3,2,0,3,1,24,2022-10-10 10:20:57+00:00,24,1
08,08316,3,1,0,3,3,14,2022-10-10 10:20:57+00:00,14,3
08,08317,8,3,0,6,22,65,2022-10-10 10:20:57+00:00,58,14
08,08325,2,2,1,2,1,9,2022-10-10 10:20:57+00:00,9,1
08,08326,6,8,0,2,9,44,2022-10-10 10:20:57+00:00,34,8
08,08327,1,2,0,1,1,9,2022-10-10 10:20:57+00:00,9,1
08,08335,10,2,0,6,23,63,2022-10-10 10:20:57+00:00,51,16
