bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,5,1,2,9,31,2022-10-06 10:21:08+00:00,28,5
01,01002,7,1,1,3,16,116,2022-10-06 10:21:08+00:00,98,10
01,01003,3,11,1,2,7,109,2022-10-06 10:21:08+00:00,84,7
01,01004,1,0,0,1,4,19,2022-10-06 10:21:08+00:00,19,4
01,01051,1,3,3,1,2,38,2022-10-06 10:21:08+00:00,38,2
01,01053,2,1,1,2,4,12,2022-10-06 10:21:08+00:00,12,4
01,01054,3,1,0,3,5,15,2022-10-06 10:21:08+00:00,15,5
01,01055,3,7,1,3,0,42,2022-10-06 10:21:08+00:00,42,0
01,01056,2,4,2,2,3,31,2022-10-06 10:21:08+00:00,31,3
01,01057,1,1,0,1,3,9,2022-10-06 10:21:08+00:00,9,3
01,01058,5,3,3,3,8,35,2022-10-06 10:21:08+00:00,31,6
01,01059,1,0,0,1,0,24,2022-10-06 10:21:08+00:00,24,0
01,01060,3,9,7,3,16,68,2022-10-06 10:21:08+00:00,68,16
01,01061,3,2,0,1,3,40,2022-10-06 10:21:08+00:00,29,1
01,01062,3,1,0,3,4,25,2022-10-06 10:21:08+00:00,25,4
02,02000,33,17,7,23,91,414,2022-10-06 10:21:08+00:00,357,47
03,03101,7,4,0,5,32,99,2022-10-06 10:21:08+00:00,90,24
03,03102,2,2,1,2,1,27,2022-10-06 10:21:08+00:00,27,1
03,03103,3,1,0,1,7,21,2022-10-06 10:21:08+00:00,15,3
03,03151,1,1,0,1,0,14,2022-10-06 10:21:08+00:00,14,0
03,03153,3,0,0,3,0,20,2022-10-06 10:21:08+00:00,20,0
03,03154,1,1,0,1,1,10,2022-10-06 10:21:08+00:00,10,1
03,03155,2,2,0,2,5,15,2022-10-06 10:21:08+00:00,15,5
03,03157,1,0,0,1,1,11,2022-10-06 10:21:08+00:00,11,1
03,03158,1,0,0,1,10,6,2022-10-06 10:21:08+00:00,6,10
03,03159,8,12,4,7,25,119,2022-10-06 10:21:08+00:00,105,23
03,03241,19,7,3,16,40,356,2022-10-06 10:21:08+00:00,304,31
03,03251,3,1,0,3,3,15,2022-10-06 10:21:08+00:00,15,3
03,03252,6,0,0,4,10,56,2022-10-06 10:21:08+00:00,55,5
03,03254,7,4,1,4,17,56,2022-10-06 10:21:08+00:00,47,14
03,03255,1,1,0,1,0,10,2022-10-06 10:21:08+00:00,10,0
03,03256,1,1,0,1,1,13,2022-10-06 10:21:08+00:00,13,1
03,03257,1,1,1,1,4,20,2022-10-06 10:21:08+00:00,20,4
03,03351,2,2,1,1,5,28,2022-10-06 10:21:08+00:00,23,0
03,03352,2,1,1,2,8,7,2022-10-06 10:21:08+00:00,7,8
03,03353,3,2,0,3,2,29,2022-10-06 10:21:08+00:00,29,2
03,03354,1,1,1,1,1,5,2022-10-06 10:21:08+00:00,5,1
03,03355,3,0,0,1,4,32,2022-10-06 10:21:08+00:00,19,1
03,03356,3,1,0,2,2,8,2022-10-06 10:21:08+00:00,8,2
03,03357,3,4,2,2,6,24,2022-10-06 10:21:08+00:00,23,3
