bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,2,0,2,8,32,2022-09-15 10:20:43+00:00,29,4
01,01002,7,2,2,3,22,117,2022-09-15 10:20:43+00:00,99,15
01,01003,3,2,0,2,6,116,2022-09-15 10:20:43+00:00,94,4
01,01004,1,1,0,1,4,19,2022-09-15 10:20:43+00:00,19,4
01,01051,1,0,0,1,1,34,2022-09-15 10:20:43+00:00,34,1
01,01053,2,3,0,2,7,13,2022-09-15 10:20:43+00:00,13,7
01,01054,3,0,0,3,6,16,2022-09-15 10:20:43+00:00,16,6
01,01055,3,4,1,3,9,38,2022-09-15 10:20:43+00:00,38,9
01,01056,2,2,1,2,0,35,2022-09-15 10:20:43+00:00,35,0
01,01057,1,0,0,1,3,9,2022-09-15 10:20:43+00:00,9,3
01,01058,5,2,1,3,13,30,2022-09-15 10:20:43+00:00,29,8
01,01059,1,1,0,1,0,24,2022-09-15 10:20:43+00:00,24,0
01,01060,3,2,1,3,19,65,2022-09-15 10:20:43+00:00,65,19
01,01061,3,1,0,1,6,37,2022-09-15 10:20:43+00:00,26,4
01,01062,3,1,0,3,10,22,2022-09-15 10:20:43+00:00,22,10
02,02000,34,20,9,24,79,475,2022-09-15 10:20:43+00:00,401,44
03,03101,7,2,2,5,31,101,2022-09-15 10:20:43+00:00,87,28
03,03102,2,1,0,2,3,25,2022-09-15 10:20:43+00:00,25,3
03,03103,3,1,0,1,14,16,2022-09-15 10:20:43+00:00,13,7
03,03151,1,1,0,1,0,12,2022-09-15 10:20:43+00:00,12,0
03,03153,3,0,0,3,2,20,2022-09-15 10:20:43+00:00,20,2
03,03154,1,2,0,1,4,10,2022-09-15 10:20:43+00:00,10,4
03,03155,2,1,0,2,5,13,2022-09-15 10:20:43+00:00,13,5
03,03157,1,2,1,1,2,10,2022-09-15 10:20:43+00:00,10,2
03,03158,1,1,1,1,7,9,2022-09-15 10:20:43+00:00,9,7
03,03159,8,8,2,7,25,116,2022-09-15 10:20:43+00:00,105,22
03,03241,19,10,8,16,72,332,2022-09-15 10:20:43+00:00,286,59
03,03251,3,0,0,3,5,12,2022-09-15 10:20:43+00:00,12,5
03,03252,6,1,0,4,10,60,2022-09-15 10:20:43+00:00,59,5
03,03254,7,3,1,4,20,55,2022-09-15 10:20:43+00:00,48,15
03,03255,1,0,0,1,1,9,2022-09-15 10:20:43+00:00,9,1
03,03256,1,0,0,1,0,12,2022-09-15 10:20:43+00:00,12,0
03,03257,1,0,0,1,8,16,2022-09-15 10:20:43+00:00,16,8
03,03351,2,1,1,1,11,27,2022-09-15 10:20:43+00:00,23,5
03,03352,2,1,1,2,5,10,2022-09-15 10:20:43+00:00,10,5
03,03353,3,1,0,3,4,30,2022-09-15 10:20:43+00:00,30,4
03,03354,1,1,1,1,0,6,2022-09-15 10:20:43+00:00,6,0
03,03355,3,1,0,1,10,26,2022-09-15 10:20:43+00:00,14,6
03,03356,3,1,0,2,2,8,2022-09-15 10:20:43+00:00,8,2
03,03357,3,0,0,2,4,26,2022-09-15 10:20:43+00:00,22,4
03,03358,2,1,0,2,5,15,2022-09-15 10:20:43+00:00,15,5
03,03359,3,1,0,2,5,25,2022-09-15 10:20:43+00:00,24,3
03,03360,2,1,1,2,2,74,2022-09-15 10:20:43+00:00,74,2
03,03361,2,1,0,2,2,13,2022-09-15 10:20:43+00:00,13,2
03,03401,1,1,1,1,8,8,2022-09-15 10:20:43+00:00,8,8
03,03402,1,1,0,1,0,13,2022-09-15 10:20:43+00:00,13,0
03,03403,5,2,0,3,16,101,2022-09-15 10:20:43+00:00,87,12
03,03404,5,0,0,4,6,104,2022-09-15 10:20:43+00:00,91,3
03,03405,2,0,0,1,6,22,2022-09-15 10:20:43+00:00,20,0
03,03451,3,0,0,2,1,28,2022-09-15 10:20:43+00:00,28,1
03,03452,4,4,2,3,8,29,2022-09-15 10:20:43+00:00,27,2
03,03453,3,1,1,3,4,19,2022-09-15 10:20:43+00:00,19,4
03,03454,10,1,0,6,30,53,2022-09-15 10:20:43+00:00,43,16
03,03455,2,0,0,2,9,22,2022-09-15 10:20:43+00:00,22,9
03,03456,1,0,0,1,1,26,2022-09-15 10:20:43+00:00,26,1
03,03457,6,1,0,4,11,18,2022-09-15 10:20:43+00:00,16,8
03,03458,1,0,0,1,0,8,2022-09-15 10:20:43+00:00,8,0
03,03459,7,0,0,6,11,79,2022-09-15 10:20:43+00:00,79,11
03,03460,5,0,0,3,5,31,2022-09-15 10:20:43+00:00,26,2
03,03461,2,0,0,2,5,6,2022-09-15 10:20:43+00:00,6,5
03,03462,1,0,0,1,0,8,2022-09-15 10:20:43+00:00,8,0
04,04011,9,5,2,8,3,142,2022-09-15 10:20:43+00:00,127,2
04,04012,4,4,2,3,12,38,2022-09-15 10:20:43+00:00,31,10
05,05111,15,9,3,11,24,276,2022-09-15 10:20:43+00:00,243,12
05,05112,14,4,1,9,29,137,2022-09-15 10:20:43+00:00,116,25
05,05113,15,17,13,12,28,318,2022-09-15 10:20:43+00:00,301,19
