bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,0,0,2,7,35,2022-08-23 10:20:48+00:00,33,2
01,01002,7,1,1,3,19,114,2022-08-23 10:20:48+00:00,93,17
01,01003,3,5,1,2,0,122,2022-08-23 10:20:48+00:00,98,0
01,01004,1,0,0,1,2,23,2022-08-23 10:20:48+00:00,23,2
01,01051,1,1,0,1,4,36,2022-08-23 10:20:48+00:00,36,4
01,01053,2,0,0,2,1,15,2022-08-23 10:20:48+00:00,15,1
01,01054,3,1,1,3,3,19,2022-08-23 10:20:48+00:00,19,3
01,01055,3,5,1,3,6,38,2022-08-23 10:20:48+00:00,38,6
01,01056,2,1,1,2,5,31,2022-08-23 10:20:48+00:00,31,5
01,01057,1,0,0,1,3,9,2022-08-23 10:20:48+00:00,9,3
01,01058,5,2,2,3,21,22,2022-08-23 10:20:48+00:00,20,17
01,01059,1,1,0,1,1,23,2022-08-23 10:20:48+00:00,23,1
01,01060,3,1,1,3,16,68,2022-08-23 10:20:48+00:00,68,16
01,01061,3,0,0,1,11,32,2022-08-23 10:20:48+00:00,20,10
01,01062,3,1,1,3,8,24,2022-08-23 10:20:48+00:00,24,8
02,02000,33,31,16,23,111,402,2022-08-23 10:20:48+00:00,344,67
03,03101,7,4,3,5,34,98,2022-08-23 10:20:48+00:00,86,29
03,03102,2,0,0,2,4,24,2022-08-23 10:20:48+00:00,24,4
03,03103,3,3,1,1,11,19,2022-08-23 10:20:48+00:00,15,5
03,03151,1,1,1,1,0,13,2022-08-23 10:20:48+00:00,13,0
03,03153,3,1,1,3,0,22,2022-08-23 10:20:48+00:00,22,0
03,03154,1,0,0,1,0,14,2022-08-23 10:20:48+00:00,14,0
03,03155,2,0,0,2,4,17,2022-08-23 10:20:48+00:00,17,4
03,03157,1,0,0,1,1,13,2022-08-23 10:20:48+00:00,13,1
03,03158,1,3,1,1,4,12,2022-08-23 10:20:48+00:00,12,4
03,03159,8,5,1,7,25,114,2022-08-23 10:20:48+00:00,102,23
03,03241,19,14,9,16,48,348,2022-08-23 10:20:48+00:00,301,34
03,03251,3,0,0,3,5,12,2022-08-23 10:20:48+00:00,12,5
03,03252,6,2,1,4,11,57,2022-08-23 10:20:48+00:00,57,5
03,03254,7,4,1,4,16,58,2022-08-23 10:20:48+00:00,52,10
03,03255,1,0,0,1,1,9,2022-08-23 10:20:48+00:00,9,1
03,03256,1,1,0,1,7,9,2022-08-23 10:20:48+00:00,9,7
03,03257,1,0,0,1,1,23,2022-08-23 10:20:48+00:00,23,1
03,03351,2,0,0,1,6,28,2022-08-23 10:20:48+00:00,24,0
03,03352,2,1,1,2,6,9,2022-08-23 10:20:48+00:00,9,6
03,03353,3,2,0,3,2,29,2022-08-23 10:20:48+00:00,29,2
03,03354,1,1,1,1,1,5,2022-08-23 10:20:48+00:00,5,1
03,03355,3,0,0,1,7,29,2022-08-23 10:20:48+00:00,18,2
03,03356,3,0,0,2,3,7,2022-08-23 10:20:48+00:00,7,3
03,03357,3,2,1,2,3,27,2022-08-23 10:20:48+00:00,25,1
03,03358,2,1,1,2,5,17,2022-08-23 10:20:48+00:00,17,5
03,03359,3,1,1,2,5,23,2022-08-23 10:20:48+00:00,22,3
03,03360,2,0,0,2,6,70,2022-08-23 10:20:48+00:00,70,6
03,03361,2,1,0,2,1,14,2022-08-23 10:20:48+00:00,14,1
03,03401,1,1,0,1,0,12,2022-08-23 10:20:48+00:00,12,0
03,03402,1,0,0,1,0,13,2022-08-23 10:20:48+00:00,13,0
03,03403,5,2,2,3,5,115,2022-08-23 10:20:48+00:00,98,3
03,03404,5,4,0,4,10,103,2022-08-23 10:20:48+00:00,88,9
03,03405,2,1,0,1,9,18,2022-08-23 10:20:48+00:00,15,4
03,03451,3,0,0,2,7,26,2022-08-23 10:20:48+00:00,26,7
03,03452,4,1,1,3,7,29,2022-08-23 10:20:48+00:00,26,2
03,03453,3,2,1,3,4,19,2022-08-23 10:20:48+00:00,19,4
03,03454,10,5,0,6,19,62,2022-08-23 10:20:48+00:00,44,13
03,03455,2,1,0,2,8,23,2022-08-23 10:20:48+00:00,23,8
03,03456,1,1,1,1,1,26,2022-08-23 10:20:48+00:00,26,1
03,03457,6,2,0,4,12,15,2022-08-23 10:20:48+00:00,15,7
03,03458,1,0,0,1,0,7,2022-08-23 10:20:48+00:00,7,0
03,03459,7,0,0,6,23,67,2022-08-23 10:20:48+00:00,67,23
03,03460,5,0,0,3,12,24,2022-08-23 10:20:48+00:00,21,7
03,03461,2,0,0,2,3,8,2022-08-23 10:20:48+00:00,8,3
03,03462,1,0,0,1,2,6,2022-08-23 10:20:48+00:00,6,2
04,04011,9,6,3,8,4,141,2022-08-23 10:20:48+00:00,128,1
04,04012,4,1,0,3,24,29,2022-08-23 10:20:48+00:00,24,17
05,05111,14,15,8,11,27,257,2022-08-23 10:20:48+00:00,233,13
05,05112,15,12,4,9,30,141,2022-08-23 10:20:48+00:00,124,22
05,05113,15,24,11,12,42,314,2022-08-23 10:20:48+00:00,299,29
05,05114,7,1,1,4,16,66,2022-08-23 10:20:48+00:00,58,14
05,05116,6,3,2,4,9,75,2022-08-23 10:20:48+00:00,69,8
05,05117,2,5,2,2,2,30,2022-08-23 10:20:48+00:00,30,2
05,05119,6,6,3,4,8,61,2022-08-23 10:20:48+00:00,46,4
05,05120,1,3,0,1,7,21,2022-08-23 10:20:48+00:00,21,7
05,05122,4,6,3,3,13,59,2022-08-23 10:20:48+00:00,55,13
