bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,0,0,2,10,30,2022-09-26 10:20:44+00:00,27,6
01,01002,7,2,2,3,31,108,2022-09-26 10:20:44+00:00,89,25
01,01003,3,5,0,2,5,111,2022-09-26 10:20:44+00:00,91,1
01,01004,1,0,0,1,6,17,2022-09-26 10:20:44+00:00,17,6
01,01051,1,0,0,1,7,33,2022-09-26 10:20:44+00:00,33,7
01,01053,2,0,0,2,3,13,2022-09-26 10:20:44+00:00,13,3
01,01054,3,0,0,3,2,22,2022-09-26 10:20:44+00:00,22,2
01,01055,3,4,2,3,4,37,2022-09-26 10:20:44+00:00,37,4
01,01056,2,3,2,2,10,26,2022-09-26 10:20:44+00:00,26,10
01,01057,1,0,0,1,5,7,2022-09-26 10:20:44+00:00,7,5
01,01058,5,3,2,3,9,30,2022-09-26 10:20:44+00:00,26,7
01,01059,1,0,0,1,0,24,2022-09-26 10:20:44+00:00,24,0
01,01060,3,2,2,3,18,66,2022-09-26 10:20:44+00:00,66,18
01,01061,3,1,1,1,11,32,2022-09-26 10:20:44+00:00,21,9
01,01062,3,0,0,3,18,14,2022-09-26 10:20:44+00:00,14,18
02,02000,34,18,10,24,111,437,2022-09-26 10:20:44+00:00,383,56
03,03101,7,1,0,5,34,96,2022-09-26 10:20:44+00:00,85,28
03,03102,2,0,0,2,1,27,2022-09-26 10:20:44+00:00,27,1
03,03103,3,0,0,1,10,20,2022-09-26 10:20:44+00:00,15,5
03,03151,1,1,0,1,0,14,2022-09-26 10:20:44+00:00,14,0
03,03153,3,0,0,3,4,20,2022-09-26 10:20:44+00:00,20,4
03,03154,1,0,0,1,0,10,2022-09-26 10:20:44+00:00,10,0
03,03155,2,0,0,2,11,9,2022-09-26 10:20:44+00:00,9,11
03,03157,1,0,0,1,1,15,2022-09-26 10:20:44+00:00,15,1
03,03158,1,0,0,1,4,12,2022-09-26 10:20:44+00:00,12,4
03,03159,8,3,1,7,27,113,2022-09-26 10:20:44+00:00,101,25
03,03241,19,14,7,16,45,352,2022-09-26 10:20:44+00:00,304,34
03,03251,3,0,0,3,8,10,2022-09-26 10:20:44+00:00,10,8
03,03252,6,1,0,4,10,58,2022-09-26 10:20:44+00:00,57,5
03,03254,7,2,0,4,29,46,2022-09-26 10:20:44+00:00,41,22
03,03255,1,0,0,1,3,7,2022-09-26 10:20:44+00:00,7,3
03,03256,1,0,0,1,1,15,2022-09-26 10:20:44+00:00,15,1
03,03351,2,1,1,1,10,28,2022-09-26 10:20:44+00:00,22,6
03,03352,2,1,0,2,4,11,2022-09-26 10:20:44+00:00,11,4
03,03353,3,2,0,3,5,26,2022-09-26 10:20:44+00:00,26,5
03,03354,1,1,0,1,0,6,2022-09-26 10:20:44+00:00,6,0
03,03355,3,0,0,1,2,34,2022-09-26 10:20:44+00:00,20,0
03,03356,3,0,0,2,3,7,2022-09-26 10:20:44+00:00,7,3
03,03357,3,3,0,2,8,22,2022-09-26 10:20:44+00:00,21,5
03,03358,2,2,1,2,2,20,2022-09-26 10:20:44+00:00,20,2
03,03359,3,1,0,2,7,21,2022-09-26 10:20:44+00:00,19,6
03,03360,2,1,1,2,3,73,2022-09-26 10:20:44+00:00,73,3
