bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,0,0,2,6,36,2022-09-27 10:20:47+00:00,34,1
01,01002,7,2,2,3,22,108,2022-09-27 10:20:47+00:00,89,17
01,01003,3,5,1,2,4,113,2022-09-27 10:20:47+00:00,89,4
01,01004,1,0,0,1,4,19,2022-09-27 10:20:47+00:00,19,4
01,01051,1,0,0,1,7,33,2022-09-27 10:20:47+00:00,33,7
01,01053,2,0,0,2,2,14,2022-09-27 10:20:47+00:00,14,2
01,01054,3,0,0,3,3,19,2022-09-27 10:20:47+00:00,19,3
01,01055,3,3,1,3,4,37,2022-09-27 10:20:47+00:00,37,4
01,01056,2,3,2,2,10,26,2022-09-27 10:20:47+00:00,26,10
01,01057,1,0,0,1,7,5,2022-09-27 10:20:47+00:00,5,7
01,01058,5,4,2,3,15,28,2022-09-27 10:20:47+00:00,25,12
01,01059,1,0,0,1,2,22,2022-09-27 10:20:47+00:00,22,2
01,01060,3,2,2,3,17,67,2022-09-27 10:20:47+00:00,67,17
01,01061,3,1,0,1,16,27,2022-09-27 10:20:47+00:00,18,12
01,01062,3,1,0,3,5,27,2022-09-27 10:20:47+00:00,27,5
02,02000,34,20,14,24,119,438,2022-09-27 10:20:47+00:00,380,68
03,03101,7,2,0,5,30,102,2022-09-27 10:20:47+00:00,92,23
03,03102,2,0,0,2,2,26,2022-09-27 10:20:47+00:00,26,2
03,03103,3,0,0,1,9,21,2022-09-27 10:20:47+00:00,17,3
03,03151,1,1,0,1,0,14,2022-09-27 10:20:47+00:00,14,0
03,03153,3,0,0,3,4,20,2022-09-27 10:20:47+00:00,20,4
03,03154,1,0,0,1,0,11,2022-09-27 10:20:47+00:00,11,0
03,03155,2,1,0,2,8,12,2022-09-27 10:20:47+00:00,12,8
03,03157,1,0,0,1,1,13,2022-09-27 10:20:47+00:00,13,1
03,03158,1,0,0,1,6,10,2022-09-27 10:20:47+00:00,10,6
03,03159,8,6,1,7,40,102,2022-09-27 10:20:47+00:00,89,40
03,03241,19,13,8,16,49,355,2022-09-27 10:20:47+00:00,309,34
03,03251,3,0,0,3,7,10,2022-09-27 10:20:47+00:00,10,7
03,03252,6,0,0,4,11,57,2022-09-27 10:20:47+00:00,56,6
03,03254,7,1,0,4,27,47,2022-09-27 10:20:47+00:00,43,19
