bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,1,0,2,7,35,2022-08-06 10:20:31+00:00,32,3
01,01002,7,6,4,3,26,106,2022-08-06 10:20:31+00:00,88,20
01,01003,3,5,2,2,10,108,2022-08-06 10:20:31+00:00,91,6
01,01004,1,1,0,1,2,17,2022-08-06 10:20:31+00:00,17,2
01,01051,1,1,0,1,2,28,2022-08-06 10:20:31+00:00,28,2
01,01053,2,0,0,2,4,12,2022-08-06 10:20:31+00:00,12,4
01,01054,3,1,1,3,10,12,2022-08-06 10:20:31+00:00,12,10
01,01055,3,1,0,3,11,34,2022-08-06 10:20:31+00:00,34,11
01,01056,2,2,1,2,10,27,2022-08-06 10:20:31+00:00,27,10
01,01057,1,1,1,1,3,9,2022-08-06 10:20:31+00:00,9,3
01,01058,5,9,5,3,10,33,2022-08-06 10:20:31+00:00,31,6
01,01059,1,1,0,1,0,24,2022-08-06 10:20:31+00:00,24,0
01,01060,3,2,2,3,23,56,2022-08-06 10:20:31+00:00,56,23
01,01061,3,0,0,1,11,32,2022-08-06 10:20:31+00:00,21,9
01,01062,3,1,0,3,1,27,2022-08-06 10:20:31+00:00,27,1
02,02000,33,36,9,23,120,416,2022-08-06 10:20:31+00:00,364,66
03,03101,7,6,4,5,37,93,2022-08-06 10:20:31+00:00,86,27
03,03102,2,0,0,2,2,26,2022-08-06 10:20:31+00:00,26,2
03,03103,3,3,3,1,5,25,2022-08-06 10:20:31+00:00,17,3
03,03151,1,1,1,1,0,12,2022-08-06 10:20:31+00:00,12,0
03,03153,3,1,1,3,1,24,2022-08-06 10:20:31+00:00,24,1
03,03154,1,2,1,1,0,15,2022-08-06 10:20:31+00:00,15,0
03,03155,2,1,0,2,4,17,2022-08-06 10:20:31+00:00,17,4
03,03157,1,0,0,1,4,8,2022-08-06 10:20:31+00:00,8,4
03,03158,1,1,0,1,6,10,2022-08-06 10:20:31+00:00,10,6
03,03159,8,8,3,7,21,114,2022-08-06 10:20:31+00:00,103,18
03,03241,19,16,9,16,42,340,2022-08-06 10:20:31+00:00,295,30
03,03251,3,0,0,3,6,12,2022-08-06 10:20:31+00:00,12,6
03,03252,6,0,0,4,12,59,2022-08-06 10:20:31+00:00,58,7
03,03254,7,3,0,4,22,50,2022-08-06 10:20:31+00:00,41,20
03,03255,1,0,0,1,2,8,2022-08-06 10:20:31+00:00,8,2
03,03256,1,1,0,1,1,15,2022-08-06 10:20:31+00:00,15,1
03,03257,1,0,0,1,5,19,2022-08-06 10:20:31+00:00,19,5
03,03351,2,3,2,1,8,29,2022-08-06 10:20:31+00:00,22,5
03,03352,2,2,1,2,4,11,2022-08-06 10:20:31+00:00,11,4
03,03353,3,1,0,3,7,24,2022-08-06 10:20:31+00:00,24,7
03,03354,1,0,0,1,0,6,2022-08-06 10:20:31+00:00,6,0
03,03355,3,1,0,1,4,35,2022-08-06 10:20:31+00:00,22,0
03,03356,3,1,0,2,0,9,2022-08-06 10:20:31+00:00,9,0
03,03357,3,2,1,2,9,21,2022-08-06 10:20:31+00:00,21,5
03,03358,2,2,0,2,5,17,2022-08-06 10:20:31+00:00,17,5
03,03359,3,1,0,2,8,18,2022-08-06 10:20:31+00:00,18,5
03,03360,2,5,2,2,4,72,2022-08-06 10:20:31+00:00,72,4
03,03361,2,0,0,2,3,12,2022-08-06 10:20:31+00:00,12,3
03,03401,1,0,0,1,3,9,2022-08-06 10:20:31+00:00,9,3
03,03402,1,1,0,1,0,13,2022-08-06 10:20:31+00:00,13,0
03,03403,5,4,3,3,3,103,2022-08-06 10:20:31+00:00,90,1
03,03404,5,2,0,4,15,94,2022-08-06 10:20:31+00:00,79,14
03,03405,2,1,1,1,16,11,2022-08-06 10:20:31+00:00,10,9
03,03451,3,1,1,2,0,30,2022-08-06 10:20:31+00:00,30,0
03,03452,4,4,1,3,0,35,2022-08-06 10:20:31+00:00,26,0
03,03453,3,2,0,3,8,16,2022-08-06 10:20:31+00:00,16,8
03,03454,10,2,0,6,26,53,2022-08-06 10:20:31+00:00,36,19
03,03455,2,1,0,2,7,24,2022-08-06 10:20:31+00:00,24,7
03,03456,1,1,0,1,3,24,2022-08-06 10:20:31+00:00,24,3
03,03457,6,2,0,4,7,19,2022-08-06 10:20:31+00:00,19,2
03,03458,1,0,0,1,0,5,2022-08-06 10:20:31+00:00,5,0
03,03459,7,7,2,6,18,70,2022-08-06 10:20:31+00:00,70,18
03,03460,5,0,0,3,20,18,2022-08-06 10:20:31+00:00,17,13
03,03461,2,0,0,2,5,6,2022-08-06 10:20:31+00:00,6,5
03,03462,1,1,1,1,2,6,2022-08-06 10:20:31+00:00,6,2
04,04011,9,16,2,8,10,120,2022-08-06 10:20:31+00:00,108,6
04,04012,4,4,2,3,4,35,2022-08-06 10:20:31+00:00,26,3
05,05111,15,14,8,11,33,258,2022-08-06 10:20:31+00:00,234,17
05,05112,14,7,2,9,29,126,2022-08-06 10:20:31+00:00,106,23
05,05113,15,25,14,12,36,303,2022-08-06 10:20:31+00:00,280,33
05,05114,7,4,0,4,13,73,2022-08-06 10:20:31+00:00,62,12
05,05116,6,7,2,4,7,77,2022-08-06 10:20:31+00:00,70,7
05,05117,2,4,4,2,5,31,2022-08-06 10:20:31+00:00,31,5
05,05119,6,5,1,4,11,59,2022-08-06 10:20:31+00:00,45,6
05,05120,1,2,2,1,4,24,2022-08-06 10:20:31+00:00,24,4
05,05122,4,8,5,3,13,59,2022-08-06 10:20:31+00:00,59,9
05,05124,7,8,1,5,13,118,2022-08-06 10:20:31+00:00,108,9
05,05154,8,2,0,5,14,48,2022-08-06 10:20:31+00:00,46,8
05,05158,4,3,0,4,6,31,2022-08-06 10:20:31+00:00,31,6
05,05162,7,5,1,5,8,92,2022-08-06 10:20:31+00:00,81,5
05,05166,4,2,1,4,3,27,2022-08-06 10:20:31+00:00,27,3
05,05170,10,9,5,8,24,89,2022-08-06 10:20:31+00:00,85,17
05,05314,18,17,8,11,11,264,2022-08-06 10:20:31+00:00,206,8
