bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,1,0,2,9,33,2022-08-15 10:20:45+00:00,31,4
01,01002,7,5,3,3,33,106,2022-08-15 10:20:45+00:00,89,26
01,01003,3,11,2,2,8,108,2022-08-15 10:20:45+00:00,89,3
01,01004,1,0,0,1,6,19,2022-08-15 10:20:45+00:00,19,6
01,01051,1,1,0,1,5,30,2022-08-15 10:20:45+00:00,30,5
01,01053,2,0,0,2,4,14,2022-08-15 10:20:45+00:00,14,4
01,01054,3,1,0,3,9,15,2022-08-15 10:20:45+00:00,15,9
01,01055,3,5,1,3,5,40,2022-08-15 10:20:45+00:00,40,5
01,01056,2,0,0,2,0,36,2022-08-15 10:20:45+00:00,36,0
01,01057,1,1,0,1,4,8,2022-08-15 10:20:45+00:00,8,4
01,01058,5,5,4,3,8,35,2022-08-15 10:20:45+00:00,31,6
01,01059,1,0,0,1,0,24,2022-08-15 10:20:45+00:00,24,0
01,01060,3,3,2,3,19,60,2022-08-15 10:20:45+00:00,60,19
01,01061,3,1,0,1,15,28,2022-08-15 10:20:45+00:00,22,8
01,01062,3,2,0,3,9,19,2022-08-15 10:20:45+00:00,19,9
02,02000,33,35,18,23,106,417,2022-08-15 10:20:45+00:00,359,58
03,03101,7,8,6,5,30,100,2022-08-15 10:20:45+00:00,89,24
03,03102,2,1,1,2,4,24,2022-08-15 10:20:45+00:00,24,4
03,03103,3,3,2,1,7,23,2022-08-15 10:20:45+00:00,17,3
03,03151,1,1,1,1,0,13,2022-08-15 10:20:45+00:00,13,0
03,03153,3,1,1,3,4,18,2022-08-15 10:20:45+00:00,18,4
03,03154,1,1,1,1,3,11,2022-08-15 10:20:45+00:00,11,3
03,03155,2,1,0,2,7,14,2022-08-15 10:20:45+00:00,14,7
03,03157,1,1,0,1,1,13,2022-08-15 10:20:45+00:00,13,1
03,03158,1,0,0,1,5,11,2022-08-15 10:20:45+00:00,11,5
03,03159,8,6,3,7,26,106,2022-08-15 10:20:45+00:00,96,25
03,03241,19,17,7,16,53,330,2022-08-15 10:20:45+00:00,283,42
03,03251,3,1,1,3,6,11,2022-08-15 10:20:45+00:00,11,6
03,03252,6,1,0,4,10,55,2022-08-15 10:20:45+00:00,54,5
03,03254,7,6,3,4,27,45,2022-08-15 10:20:45+00:00,39,21
03,03255,1,1,1,1,3,7,2022-08-15 10:20:45+00:00,7,3
03,03256,1,2,0,1,1,15,2022-08-15 10:20:45+00:00,15,1
03,03257,1,1,0,1,8,16,2022-08-15 10:20:45+00:00,16,8
03,03351,2,1,1,1,6,30,2022-08-15 10:20:45+00:00,23,3
03,03352,2,2,1,2,1,14,2022-08-15 10:20:45+00:00,14,1
03,03353,3,2,0,3,2,29,2022-08-15 10:20:45+00:00,29,2
03,03354,1,0,0,1,2,4,2022-08-15 10:20:45+00:00,4,2
03,03355,3,0,0,1,3,34,2022-08-15 10:20:45+00:00,18,2
03,03356,3,1,0,2,1,8,2022-08-15 10:20:45+00:00,8,1
03,03357,3,2,1,2,6,24,2022-08-15 10:20:45+00:00,24,2
03,03358,2,3,0,2,1,20,2022-08-15 10:20:45+00:00,20,1
03,03359,3,2,0,2,9,19,2022-08-15 10:20:45+00:00,18,7
03,03360,2,2,0,2,4,72,2022-08-15 10:20:45+00:00,72,4
03,03361,2,1,0,2,6,9,2022-08-15 10:20:45+00:00,9,6
03,03401,1,0,0,1,1,11,2022-08-15 10:20:45+00:00,11,1
03,03402,1,1,1,1,0,13,2022-08-15 10:20:45+00:00,13,0
03,03403,5,4,1,3,12,107,2022-08-15 10:20:45+00:00,91,6
03,03404,5,4,0,4,11,97,2022-08-15 10:20:45+00:00,84,8
03,03405,2,1,0,1,11,16,2022-08-15 10:20:45+00:00,16,3
03,03451,3,1,0,2,1,29,2022-08-15 10:20:45+00:00,29,1
03,03452,4,2,1,3,11,25,2022-08-15 10:20:45+00:00,23,5
03,03453,3,1,0,3,5,18,2022-08-15 10:20:45+00:00,18,5
03,03454,10,1,0,6,26,52,2022-08-15 10:20:45+00:00,42,12
03,03455,2,1,0,2,9,22,2022-08-15 10:20:45+00:00,22,9
03,03456,1,1,0,1,3,24,2022-08-15 10:20:45+00:00,24,3
03,03457,6,1,0,4,12,15,2022-08-15 10:20:45+00:00,15,7
03,03458,1,0,0,1,0,6,2022-08-15 10:20:45+00:00,6,0
03,03459,7,4,1,6,14,74,2022-08-15 10:20:45+00:00,74,14
03,03460,5,0,0,3,17,19,2022-08-15 10:20:45+00:00,16,12
03,03461,2,2,0,2,4,6,2022-08-15 10:20:45+00:00,6,4
03,03462,1,0,0,1,1,7,2022-08-15 10:20:45+00:00,7,1
04,04011,9,4,1,8,19,120,2022-08-15 10:20:45+00:00,112,11
04,04012,4,1,1,3,10,35,2022-08-15 10:20:45+00:00,29,4
05,05111,15,17,8,11,38,253,2022-08-15 10:20:45+00:00,228,20
05,05112,15,8,1,9,44,128,2022-08-15 10:20:45+00:00,112,35
05,05113,15,23,12,12,40,313,2022-08-15 10:20:45+00:00,295,32
05,05114,7,5,1,4,10,75,2022-08-15 10:20:45+00:00,64,10
05,05116,5,2,0,3,2,76,2022-08-15 10:20:45+00:00,69,2
05,05117,2,7,4,2,3,33,2022-08-15 10:20:45+00:00,33,3
05,05119,6,7,3,4,14,55,2022-08-15 10:20:45+00:00,40,10
05,05120,1,3,1,1,3,25,2022-08-15 10:20:45+00:00,25,3
05,05122,4,5,5,3,17,55,2022-08-15 10:20:45+00:00,54,14
05,05124,7,4,1,5,29,105,2022-08-15 10:20:45+00:00,95,25
05,05154,8,2,0,5,21,49,2022-08-15 10:20:45+00:00,48,14
05,05158,6,5,1,6,10,50,2022-08-15 10:20:45+00:00,50,10
05,05162,7,4,1,5,8,89,2022-08-15 10:20:45+00:00,78,5
05,05166,4,1,0,4,6,28,2022-08-15 10:20:45+00:00,28,6
05,05170,11,6,2,8,39,88,2022-08-15 10:20:45+00:00,87,29
05,05314,18,9,4,11,16,261,2022-08-15 10:20:45+00:00,205,11
05,05315,24,14,5,17,36,293,2022-08-15 10:20:45+00:00,254,35
05,05316,5,3,0,2,13,52,2022-08-15 10:20:45+00:00,39,8
05,05334,12,14,7,7,20,226,2022-08-15 10:20:45+00:00,213,16
05,05358,6,3,1,4,13,46,2022-08-15 10:20:45+00:00,41,10
05,05362,6,2,0,6,11,51,2022-08-15 10:20:45+00:00,51,11
05,05366,3,0,0,3,5,25,2022-08-15 10:20:45+00:00,25,5
05,05370,3,1,0,3,5,31,2022-08-15 10:20:45+00:00,31,5
05,05374,4,3,1,4,11,37,2022-08-15 10:20:45+00:00,37,11
05,05378,3,0,0,3,8,23,2022-08-15 10:20:45+00:00,23,8
05,05382,7,1,0,6,4,76,2022-08-15 10:20:45+00:00,66,3
05,05512,2,1,0,2,14,29,2022-08-15 10:20:45+00:00,29,14
05,05513,7,2,2,4,19,70,2022-08-15 10:20:45+00:00,58,9
05,05515,10,1,1,7,13,178,2022-08-15 10:20:45+00:00,163,9
05,05554,6,5,2,5,22,45,2022-08-15 10:20:45+00:00,45,20
05,05558,5,1,1,3,2,28,2022-08-15 10:20:45+00:00,18,2
05,05562,15,9,3,14,57,172,2022-08-15 10:20:45+00:00,148,49
05,05566,7,1,0,5,10,78,2022-08-15 10:20:45+00:00,66,7
05,05570,6,1,1,5,9,39,2022-08-15 10:20:45+00:00,37,7
