bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,3,1,2,5,37,2022-11-13 11:21:19+00:00,32,3
01,01002,7,2,0,3,22,111,2022-11-13 11:21:19+00:00,90,19
01,01003,3,3,2,2,12,109,2022-11-13 11:21:19+00:00,87,12
01,01004,1,0,0,1,5,20,2022-11-13 11:21:19+00:00,20,5
01,01051,1,3,1,1,3,32,2022-11-13 11:21:19+00:00,32,3
01,01053,2,0,0,2,2,14,2022-11-13 11:21:19+00:00,14,2
01,01054,3,1,0,3,6,18,2022-11-13 11:21:19+00:00,18,6
01,01055,3,5,2,3,7,31,2022-11-13 11:21:19+00:00,31,7
01,01056,2,3,1,2,8,26,2022-11-13 11:21:19+00:00,26,8
01,01057,1,0,0,1,5,7,2022-11-13 11:21:19+00:00,7,5
01,01058,5,3,1,3,9,34,2022-11-13 11:21:19+00:00,30,7
01,01059,1,1,0,1,0,24,2022-11-13 11:21:19+00:00,24,0
01,01060,3,1,0,3,19,62,2022-11-13 11:21:19+00:00,62,19
01,01061,3,5,1,1,14,30,2022-11-13 11:21:19+00:00,22,8
01,01062,3,2,2,3,10,18,2022-11-13 11:21:19+00:00,18,10
02,02000,33,19,10,23,92,406,2022-11-13 11:21:19+00:00,337,58
03,03101,7,4,2,5,39,93,2022-11-13 11:21:19+00:00,85,30
03,03102,2,0,0,2,2,26,2022-11-13 11:21:19+00:00,26,2
03,03103,3,2,1,1,4,22,2022-11-13 11:21:19+00:00,16,0
03,03151,1,1,1,1,2,10,2022-11-13 11:21:19+00:00,10,2
03,03153,3,0,0,3,2,20,2022-11-13 11:21:19+00:00,20,2
03,03154,1,0,0,1,0,12,2022-11-13 11:21:19+00:00,12,0
03,03155,2,3,0,2,6,12,2022-11-13 11:21:19+00:00,12,6
03,03157,1,0,0,1,0,12,2022-11-13 11:21:19+00:00,12,0
03,03158,1,1,0,1,6,10,2022-11-13 11:21:19+00:00,10,6
03,03159,7,8,4,6,24,113,2022-11-13 11:21:19+00:00,100,22
03,03241,19,8,5,16,51,342,2022-11-13 11:21:19+00:00,297,38
03,03251,3,2,2,3,6,11,2022-11-13 11:21:19+00:00,11,6
03,03252,6,2,1,4,12,57,2022-11-13 11:21:19+00:00,56,7
03,03254,7,7,0,4,16,58,2022-11-13 11:21:19+00:00,50,12
03,03255,1,0,0,1,0,9,2022-11-13 11:21:19+00:00,9,0
03,03256,1,0,0,1,0,16,2022-11-13 11:21:19+00:00,16,0
03,03257,1,0,0,1,4,20,2022-11-13 11:21:19+00:00,20,4
03,03351,2,4,2,1,9,21,2022-11-13 11:21:19+00:00,17,3
03,03352,2,0,0,2,4,11,2022-11-13 11:21:19+00:00,11,4
03,03353,3,1,0,3,3,26,2022-11-13 11:21:19+00:00,26,3
03,03354,1,0,0,1,0,6,2022-11-13 11:21:19+00:00,6,0
03,03355,3,1,0,1,6,30,2022-11-13 11:21:19+00:00,19,1
03,03356,3,2,0,2,3,9,2022-11-13 11:21:19+00:00,9,3
03,03357,3,1,1,2,8,22,2022-11-13 11:21:19+00:00,21,5
03,03358,2,3,2,2,4,16,2022-11-13 11:21:19+00:00,16,4
03,03359,3,0,0,2,7,20,2022-11-13 11:21:19+00:00,20,4
03,03360,2,0,0,2,10,66,2022-11-13 11:21:19+00:00,66,10
03,03361,2,1,1,2,0,17,2022-11-13 11:21:19+00:00,17,0
03,03401,1,2,0,1,2,13,2022-11-13 11:21:19+00:00,13,2
03,03402,1,1,0,1,0,13,2022-11-13 11:21:19+00:00,13,0
03,03403,5,2,0,3,13,105,2022-11-13 11:21:19+00:00,93,6
03,03404,5,3,1,4,18,91,2022-11-13 11:21:19+00:00,77,16
03,03405,2,0,0,1,7,20,2022-11-13 11:21:19+00:00,18,1
03,03451,3,1,1,2,2,29,2022-11-13 11:21:19+00:00,29,2
03,03452,4,4,3,3,3,33,2022-11-13 11:21:19+00:00,25,3
03,03453,3,1,1,3,6,18,2022-11-13 11:21:19+00:00,18,6
03,03454,10,1,0,6,24,57,2022-11-13 11:21:19+00:00,47,11
03,03455,2,1,0,2,4,27,2022-11-13 11:21:19+00:00,27,4
03,03456,1,1,0,1,0,25,2022-11-13 11:21:19+00:00,25,0
03,03457,6,1,0,4,6,19,2022-11-13 11:21:19+00:00,17,3
03,03458,1,1,0,1,0,8,2022-11-13 11:21:19+00:00,8,0
03,03459,7,1,0,6,17,70,2022-11-13 11:21:19+00:00,70,17
03,03460,5,2,1,3,13,23,2022-11-13 11:21:19+00:00,21,7
03,03461,2,2,1,2,2,12,2022-11-13 11:21:19+00:00,12,2
03,03462,1,0,0,1,1,7,2022-11-13 11:21:19+00:00,7,1
04,04011,9,6,3,8,6,141,2022-11-13 11:21:19+00:00,124,5
04,04012,4,6,2,3,8,33,2022-11-13 11:21:19+00:00,24,7
05,05111,15,15,2,11,22,267,2022-11-13 11:21:19+00:00,241,9
05,05112,14,10,2,9,22,134,2022-11-13 11:21:19+00:00,114,17
05,05113,15,20,7,12,23,330,2022-11-13 11:21:19+00:00,306,22
05,05114,7,1,0,4,12,70,2022-11-13 11:21:19+00:00,63,11
05,05116,6,6,3,4,5,84,2022-11-13 11:21:19+00:00,77,5
05,05117,2,5,3,2,7,25,2022-11-13 11:21:19+00:00,25,7
05,05119,6,5,3,4,10,55,2022-11-13 11:21:19+00:00,43,3
05,05120,1,1,1,1,2,26,2022-11-13 11:21:19+00:00,26,2
05,05122,4,4,3,3,15,55,2022-11-13 11:21:19+00:00,54,12
05,05124,7,5,1,5,16,120,2022-11-13 11:21:19+00:00,112,10
05,05154,8,5,2,5,14,52,2022-11-13 11:21:19+00:00,51,7
05,05158,6,2,0,6,12,50,2022-11-13 11:21:19+00:00,50,12
05,05162,7,0,0,5,15,85,2022-11-13 11:21:19+00:00,74,12
05,05166,4,2,2,4,5,31,2022-11-13 11:21:19+00:00,31,5
05,05170,11,14,4,8,28,96,2022-11-13 11:21:19+00:00,92,21
05,05314,17,12,7,10,21,231,2022-11-13 11:21:19+00:00,175,18
05,05315,24,20,10,17,17,307,2022-11-13 11:21:19+00:00,269,15
05,05316,5,0,0,2,16,47,2022-11-13 11:21:19+00:00,33,12
05,05334,12,8,4,7,13,232,2022-11-13 11:21:19+00:00,218,9
05,05358,6,1,1,4,6,52,2022-11-13 11:21:19+00:00,46,4
05,05362,6,2,1,6,10,49,2022-11-13 11:21:19+00:00,49,10
05,05366,3,2,1,3,3,24,2022-11-13 11:21:19+00:00,24,3
05,05370,3,3,1,3,4,30,2022-11-13 11:21:19+00:00,30,4
05,05374,4,0,0,4,5,27,2022-11-13 11:21:19+00:00,27,5
05,05378,3,2,0,3,5,26,2022-11-13 11:21:19+00:00,26,5
05,05382,7,6,0,6,13,69,2022-11-13 11:21:19+00:00,61,10
05,05512,2,1,1,2,17,26,2022-11-13 11:21:19+00:00,26,17
05,05513,7,7,2,4,16,73,2022-11-13 11:21:19+00:00,61,6
05,05515,10,2,1,7,15,191,2022-11-13 11:21:19+00:00,176,9
05,05554,6,3,0,5,10,58,2022-11-13 11:21:19+00:00,56,10
05,05558,5,1,0,3,2,31,2022-11-13 11:21:19+00:00,21,2
05,05562,14,1,1,13,53,165,2022-11-13 11:21:19+00:00,142,44
05,05566,6,3,0,4,19,50,2022-11-13 11:21:19+00:00,39,15
05,05570,6,3,1,5,11,33,2022-11-13 11:21:19+00:00,32,10
05,05711,9,5,4,5,9,107,2022-11-13 11:21:19+00:00,88,6
05,05754,3,1,0,3,6,22,2022-11-13 11:21:19+00:00,22,6
05,05758,4,1,1,2,15,35,2022-11-13 11:21:19+00:00,28,12
05,05762,6,0,0,5,10,20,2022-11-13 11:21:19+00:00,20,6
05,05766,2,5,1,2,1,49,2022-11-13 11:21:19+00:00,49,1
05,05770,9,4,0,6,19,174,2022-11-13 11:21:19+00:00,154,12
05,05774,7,0,0,5,12,66,2022-11-13 11:21:19+00:00,57,6
05,05911,8,7,4,6,19,160,2022-11-13 11:21:19+00:00,139,19
05,05913,8,10,0,8,15,252,2022-11-13 11:21:19+00:00,252,15
05,05914,7,4,1,5,15,67,2022-11-13 11:21:19+00:00,62,10
05,05915,7,5,2,4,17,66,2022-11-13 11:21:19+00:00,52,9
05,05916,4,2,0,4,13,51,2022-11-13 11:21:19+00:00,51,13
05,05954,8,6,4,6,14,102,2022-11-13 11:21:19+00:00,75,8
05,05958,9,3,1,8,22,61,2022-11-13 11:21:19+00:00,58,19
05,05962,9,7,1,7,16,76,2022-11-13 11:21:19+00:00,72,12
05,05966,3,4,1,3,13,13,2022-11-13 11:21:19+00:00,13,13
05,05970,6,0,0,5,20,68,2022-11-13 11:21:19+00:00,63,9
05,05974,9,2,0,7,11,76,2022-11-13 11:21:19+00:00,67,6
05,05978,8,6,2,8,4,101,2022-11-13 11:21:19+00:00,101,4
06,06411,7,7,3,4,28,77,2022-11-13 11:21:19+00:00,51,7
06,06412,17,16,4,12,30,239,2022-11-13 11:21:19+00:00,214,26
06,06413,4,1,0,2,9,96,2022-11-13 11:21:19+00:00,84,8
06,06414,6,6,5,4,2,80,2022-11-13 11:21:19+00:00,72,2
06,06431,5,1,0,5,8,32,2022-11-13 11:21:19+00:00,32,8
06,06432,2,4,2,2,0,20,2022-11-13 11:21:19+00:00,20,0
06,06433,2,0,0,2,2,17,2022-11-13 11:21:19+00:00,17,2
06,06434,2,1,0,2,2,18,2022-11-13 11:21:19+00:00,18,2
06,06435,7,4,1,4,7,67,2022-11-13 11:21:19+00:00,54,5
06,06436,2,1,1,2,1,22,2022-11-13 11:21:19+00:00,22,1
06,06437,2,6,0,2,6,120,2022-11-13 11:21:19+00:00,120,6
06,06438,2,2,0,2,5,18,2022-11-13 11:21:19+00:00,18,5
