bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,4,3,2,7,32,2022-10-26 10:21:02+00:00,27,5
01,01002,7,2,1,3,15,117,2022-10-26 10:21:02+00:00,99,9
01,01003,3,13,7,2,3,112,2022-10-26 10:21:02+00:00,91,0
01,01004,1,1,0,1,1,22,2022-10-26 10:21:02+00:00,22,1
01,01051,1,0,0,1,2,33,2022-10-26 10:21:02+00:00,33,2
01,01053,2,0,0,2,3,13,2022-10-26 10:21:02+00:00,13,3
01,01054,3,0,0,3,6,16,2022-10-26 10:21:02+00:00,16,6
01,01055,3,6,1,3,1,41,2022-10-26 10:21:02+00:00,41,1
01,01056,2,2,1,2,1,34,2022-10-26 10:21:02+00:00,34,1
01,01057,1,1,0,1,5,7,2022-10-26 10:21:02+00:00,7,5
01,01058,5,2,2,3,10,32,2022-10-26 10:21:02+00:00,30,7
01,01059,1,1,0,1,1,23,2022-10-26 10:21:02+00:00,23,1
01,01060,3,6,3,3,19,65,2022-10-26 10:21:02+00:00,65,19
01,01061,3,3,2,1,4,39,2022-10-26 10:21:02+00:00,28,2
01,01062,3,0,0,3,4,24,2022-10-26 10:21:02+00:00,24,4
02,02000,33,30,15,23,73,421,2022-10-26 10:21:02+00:00,354,37
03,03101,7,2,1,5,40,92,2022-10-26 10:21:02+00:00,84,31
03,03102,2,0,0,2,1,27,2022-10-26 10:21:02+00:00,27,1
03,03103,3,1,0,1,3,25,2022-10-26 10:21:02+00:00,18,0
03,03151,1,0,0,1,0,14,2022-10-26 10:21:02+00:00,14,0
03,03153,3,2,0,3,2,20,2022-10-26 10:21:02+00:00,20,2
03,03154,1,0,0,1,0,11,2022-10-26 10:21:02+00:00,11,0
03,03155,2,2,0,2,10,10,2022-10-26 10:21:02+00:00,10,10
03,03157,1,0,0,1,3,11,2022-10-26 10:21:02+00:00,11,3
03,03158,1,0,0,1,13,3,2022-10-26 10:21:02+00:00,3,13
03,03159,7,14,2,6,16,108,2022-10-26 10:21:02+00:00,98,15
03,03241,19,10,3,16,48,333,2022-10-26 10:21:02+00:00,285,40
03,03251,3,2,0,3,6,11,2022-10-26 10:21:02+00:00,11,6
03,03252,6,1,1,4,13,53,2022-10-26 10:21:02+00:00,52,8
03,03254,7,3,0,4,21,51,2022-10-26 10:21:02+00:00,43,17
03,03255,1,0,0,1,0,9,2022-10-26 10:21:02+00:00,9,0
03,03256,1,0,0,1,6,10,2022-10-26 10:21:02+00:00,10,6
03,03257,1,0,0,1,0,24,2022-10-26 10:21:02+00:00,24,0
03,03351,2,5,0,1,6,24,2022-10-26 10:21:02+00:00,18,2
03,03352,2,3,1,2,5,10,2022-10-26 10:21:02+00:00,10,5
03,03353,3,4,0,3,4,30,2022-10-26 10:21:02+00:00,30,4
03,03354,1,1,0,1,0,6,2022-10-26 10:21:02+00:00,6,0
03,03355,3,1,0,1,7,30,2022-10-26 10:21:02+00:00,16,4
03,03356,3,2,0,2,3,7,2022-10-26 10:21:02+00:00,7,3
03,03357,3,3,1,2,3,27,2022-10-26 10:21:02+00:00,26,0
03,03358,2,1,1,2,0,14,2022-10-26 10:21:02+00:00,14,0
03,03359,3,1,0,2,4,23,2022-10-26 10:21:02+00:00,23,1
03,03360,2,0,0,2,6,70,2022-10-26 10:21:02+00:00,70,6
03,03361,2,1,0,2,3,12,2022-10-26 10:21:02+00:00,12,3
03,03401,1,0,0,1,4,12,2022-10-26 10:21:02+00:00,12,4
03,03402,1,0,0,1,0,13,2022-10-26 10:21:02+00:00,13,0
03,03403,5,3,2,3,7,108,2022-10-26 10:21:02+00:00,92,3
03,03404,5,4,1,4,6,106,2022-10-26 10:21:02+00:00,92,4
03,03405,2,5,0,1,8,19,2022-10-26 10:21:02+00:00,16,3
03,03451,3,5,2,2,1,29,2022-10-26 10:21:02+00:00,29,1
03,03452,4,6,3,3,4,33,2022-10-26 10:21:02+00:00,27,2
03,03453,3,2,1,3,5,18,2022-10-26 10:21:02+00:00,18,5
03,03454,10,4,0,6,20,61,2022-10-26 10:21:02+00:00,46,11
03,03455,2,0,0,2,6,23,2022-10-26 10:21:02+00:00,23,6
03,03456,1,2,0,1,2,23,2022-10-26 10:21:02+00:00,23,2
03,03457,6,1,0,4,10,20,2022-10-26 10:21:02+00:00,18,7
03,03458,1,1,1,1,0,7,2022-10-26 10:21:02+00:00,7,0
03,03459,7,9,2,6,15,78,2022-10-26 10:21:02+00:00,78,15
03,03460,5,1,1,3,11,27,2022-10-26 10:21:02+00:00,24,6
03,03461,2,1,0,2,4,5,2022-10-26 10:21:02+00:00,5,4
03,03462,1,1,0,1,2,6,2022-10-26 10:21:02+00:00,6,2
04,04011,9,8,2,8,7,138,2022-10-26 10:21:02+00:00,125,4
04,04012,4,5,4,3,6,41,2022-10-26 10:21:02+00:00,34,1
05,05111,15,15,2,11,17,262,2022-10-26 10:21:02+00:00,234,8
05,05112,14,13,5,9,26,144,2022-10-26 10:21:02+00:00,132,17
05,05113,15,31,16,12,27,321,2022-10-26 10:21:02+00:00,299,24
05,05114,7,6,3,4,7,77,2022-10-26 10:21:02+00:00,68,6
05,05116,6,6,2,4,7,79,2022-10-26 10:21:02+00:00,73,6
05,05117,2,5,4,2,6,26,2022-10-26 10:21:02+00:00,26,6
05,05119,6,4,1,4,9,62,2022-10-26 10:21:02+00:00,47,5
05,05120,1,6,4,1,3,27,2022-10-26 10:21:02+00:00,27,3
05,05122,4,5,3,3,7,61,2022-10-26 10:21:02+00:00,58,6
05,05124,7,15,4,5,16,120,2022-10-26 10:21:02+00:00,110,12
05,05154,8,9,2,5,12,55,2022-10-26 10:21:02+00:00,55,4
05,05158,6,8,3,6,11,51,2022-10-26 10:21:02+00:00,51,11
05,05162,7,8,0,5,6,94,2022-10-26 10:21:02+00:00,83,3
05,05166,4,2,0,4,0,33,2022-10-26 10:21:02+00:00,33,0
05,05170,11,10,3,8,26,99,2022-10-26 10:21:02+00:00,95,19
05,05314,17,15,5,10,6,238,2022-10-26 10:21:02+00:00,185,2
05,05315,25,24,8,17,20,315,2022-10-26 10:21:02+00:00,277,18
05,05316,5,3,1,2,19,50,2022-10-26 10:21:02+00:00,39,12
05,05334,12,11,4,7,13,231,2022-10-26 10:21:02+00:00,218,9
05,05358,6,5,0,4,3,54,2022-10-26 10:21:02+00:00,49,0
05,05362,6,4,1,6,14,45,2022-10-26 10:21:02+00:00,45,14
05,05366,3,5,2,3,3,27,2022-10-26 10:21:02+00:00,27,3
05,05370,3,3,2,3,2,32,2022-10-26 10:21:02+00:00,32,2
05,05374,5,8,4,5,7,51,2022-10-26 10:21:02+00:00,51,7
05,05378,3,5,2,3,3,27,2022-10-26 10:21:02+00:00,27,3
05,05382,7,5,1,6,10,71,2022-10-26 10:21:02+00:00,61,8
05,05512,2,4,0,2,12,31,2022-10-26 10:21:02+00:00,31,12
05,05513,7,10,5,4,16,68,2022-10-26 10:21:02+00:00,56,6
05,05515,10,11,2,7,16,197,2022-10-26 10:21:02+00:00,180,13
05,05554,6,3,0,5,6,62,2022-10-26 10:21:02+00:00,62,4
05,05558,5,2,0,3,6,28,2022-10-26 10:21:02+00:00,18,6
05,05562,15,16,4,14,42,190,2022-10-26 10:21:02+00:00,167,33
05,05566,6,4,1,4,8,62,2022-10-26 10:21:02+00:00,51,4
05,05570,6,6,1,5,8,37,2022-10-26 10:21:02+00:00,36,7
05,05711,9,12,3,5,8,113,2022-10-26 10:21:02+00:00,92,3
05,05754,3,4,0,3,5,23,2022-10-26 10:21:02+00:00,23,5
05,05758,4,0,0,2,11,39,2022-10-26 10:21:02+00:00,33,7
05,05762,6,6,3,5,4,30,2022-10-26 10:21:02+00:00,26,4
05,05766,2,3,0,2,3,47,2022-10-26 10:21:02+00:00,47,3
05,05770,9,5,3,6,9,183,2022-10-26 10:21:02+00:00,159,6
05,05774,7,6,2,5,10,68,2022-10-26 10:21:02+00:00,61,2
05,05911,8,13,4,6,22,160,2022-10-26 10:21:02+00:00,141,20
05,05913,8,16,1,8,34,231,2022-10-26 10:21:02+00:00,231,34
05,05914,7,3,1,5,18,62,2022-10-26 10:21:02+00:00,60,10
05,05915,7,6,3,5,24,65,2022-10-26 10:21:02+00:00,57,10
05,05916,4,4,1,4,7,57,2022-10-26 10:21:02+00:00,57,7
05,05954,8,7,0,6,24,94,2022-10-26 10:21:02+00:00,70,19
05,05958,9,9,4,8,15,70,2022-10-26 10:21:02+00:00,65,14
05,05962,10,6,4,8,18,77,2022-10-26 10:21:02+00:00,70,17
05,05966,3,3,1,3,9,17,2022-10-26 10:21:02+00:00,17,9
05,05970,7,8,3,6,10,106,2022-10-26 10:21:02+00:00,97,3
