bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,4,1,2,2,40,2022-11-11 11:21:59+00:00,35,0
01,01002,7,1,0,3,13,117,2022-11-11 11:21:59+00:00,98,8
01,01003,3,4,3,2,2,117,2022-11-11 11:21:59+00:00,93,2
01,01004,1,0,0,1,6,19,2022-11-11 11:21:59+00:00,19,6
01,01051,1,3,1,1,4,31,2022-11-11 11:21:59+00:00,31,4
01,01053,2,0,0,2,0,16,2022-11-11 11:21:59+00:00,16,0
01,01054,3,1,1,3,4,18,2022-11-11 11:21:59+00:00,18,4
01,01055,3,4,1,3,4,36,2022-11-11 11:21:59+00:00,36,4
01,01056,2,2,1,2,5,30,2022-11-11 11:21:59+00:00,30,5
01,01057,1,0,0,1,1,11,2022-11-11 11:21:59+00:00,11,1
01,01058,5,2,1,3,13,30,2022-11-11 11:21:59+00:00,27,10
01,01059,1,1,0,1,1,23,2022-11-11 11:21:59+00:00,23,1
01,01060,3,1,0,3,20,61,2022-11-11 11:21:59+00:00,61,20
01,01061,3,4,2,1,10,33,2022-11-11 11:21:59+00:00,24,6
01,01062,3,2,0,3,9,21,2022-11-11 11:21:59+00:00,21,9
02,02000,33,19,7,23,86,421,2022-11-11 11:21:59+00:00,350,54
03,03101,7,4,2,5,35,97,2022-11-11 11:21:59+00:00,85,30
03,03102,2,0,0,2,2,26,2022-11-11 11:21:59+00:00,26,2
03,03103,3,3,1,1,6,20,2022-11-11 11:21:59+00:00,15,1
03,03151,1,1,1,1,0,13,2022-11-11 11:21:59+00:00,13,0
03,03153,3,0,0,3,2,20,2022-11-11 11:21:59+00:00,20,2
03,03154,1,2,1,1,2,8,2022-11-11 11:21:59+00:00,8,2
03,03155,2,1,1,2,4,15,2022-11-11 11:21:59+00:00,15,4
03,03157,1,0,0,1,3,11,2022-11-11 11:21:59+00:00,11,3
03,03158,1,0,0,1,4,12,2022-11-11 11:21:59+00:00,12,4
03,03159,7,12,3,6,27,113,2022-11-11 11:21:59+00:00,100,23
03,03241,19,9,5,16,40,349,2022-11-11 11:21:59+00:00,303,30
03,03251,3,1,1,3,5,12,2022-11-11 11:21:59+00:00,12,5
03,03252,6,3,1,4,13,55,2022-11-11 11:21:59+00:00,54,8
03,03254,7,5,0,4,12,62,2022-11-11 11:21:59+00:00,53,9
03,03255,1,0,0,1,4,5,2022-11-11 11:21:59+00:00,5,4
03,03256,1,0,0,1,4,12,2022-11-11 11:21:59+00:00,12,4
03,03257,1,0,0,1,0,24,2022-11-11 11:21:59+00:00,24,0
03,03351,2,2,2,1,9,21,2022-11-11 11:21:59+00:00,20,0
03,03352,2,0,0,2,3,12,2022-11-11 11:21:59+00:00,12,3
03,03353,3,1,0,3,1,28,2022-11-11 11:21:59+00:00,28,1
03,03354,1,0,0,1,0,6,2022-11-11 11:21:59+00:00,6,0
03,03355,3,0,0,1,8,29,2022-11-11 11:21:59+00:00,18,2
03,03356,3,1,0,2,2,8,2022-11-11 11:21:59+00:00,8,2
03,03357,3,1,1,2,7,23,2022-11-11 11:21:59+00:00,22,4
03,03358,2,4,2,2,1,16,2022-11-11 11:21:59+00:00,16,1
03,03359,3,0,0,2,7,20,2022-11-11 11:21:59+00:00,20,4
03,03360,2,0,0,2,5,71,2022-11-11 11:21:59+00:00,71,5
03,03361,2,2,1,2,1,16,2022-11-11 11:21:59+00:00,16,1
03,03401,1,1,0,1,2,14,2022-11-11 11:21:59+00:00,14,2
03,03402,1,1,1,1,1,12,2022-11-11 11:21:59+00:00,12,1
03,03403,5,2,0,3,8,110,2022-11-11 11:21:59+00:00,97,2
03,03404,5,2,1,4,9,108,2022-11-11 11:21:59+00:00,92,9
03,03405,2,0,0,1,7,20,2022-11-11 11:21:59+00:00,18,1
03,03451,3,0,0,2,3,27,2022-11-11 11:21:59+00:00,27,3
03,03452,4,3,2,3,6,30,2022-11-11 11:21:59+00:00,22,6
03,03453,3,2,0,3,5,19,2022-11-11 11:21:59+00:00,19,5
03,03454,10,2,0,6,22,57,2022-11-11 11:21:59+00:00,44,12
03,03455,2,1,0,2,8,23,2022-11-11 11:21:59+00:00,23,8
03,03456,1,1,0,1,0,25,2022-11-11 11:21:59+00:00,25,0
03,03457,6,0,0,4,8,19,2022-11-11 11:21:59+00:00,17,5
03,03458,1,1,0,1,1,9,2022-11-11 11:21:59+00:00,9,1
03,03459,7,2,0,6,14,74,2022-11-11 11:21:59+00:00,74,14
03,03460,5,3,1,3,9,29,2022-11-11 11:21:59+00:00,26,4
03,03461,2,2,1,2,3,11,2022-11-11 11:21:59+00:00,11,3
03,03462,1,0,0,1,1,7,2022-11-11 11:21:59+00:00,7,1
04,04011,9,8,3,8,2,145,2022-11-11 11:21:59+00:00,128,1
04,04012,4,7,4,3,6,38,2022-11-11 11:21:59+00:00,30,2
05,05111,15,11,2,11,16,277,2022-11-11 11:21:59+00:00,246,8
05,05112,12,8,1,9,17,135,2022-11-11 11:21:59+00:00,129,14
05,05113,15,21,9,12,26,329,2022-11-11 11:21:59+00:00,306,24
05,05114,7,2,0,4,7,73,2022-11-11 11:21:59+00:00,67,7
05,05116,6,6,2,4,5,84,2022-11-11 11:21:59+00:00,77,5
05,05117,2,6,3,2,3,29,2022-11-11 11:21:59+00:00,29,3
05,05119,6,8,4,4,9,57,2022-11-11 11:21:59+00:00,45,2
05,05120,1,0,0,1,2,26,2022-11-11 11:21:59+00:00,26,2
05,05122,4,4,3,3,19,51,2022-11-11 11:21:59+00:00,50,16
05,05124,7,9,2,5,11,125,2022-11-11 11:21:59+00:00,114,8
