bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,1,1,2,8,34,2022-08-27 10:20:36+00:00,32,3
01,01002,7,2,1,3,21,109,2022-08-27 10:20:36+00:00,93,14
01,01003,3,1,0,2,12,106,2022-08-27 10:20:36+00:00,88,9
01,01004,1,0,0,1,4,21,2022-08-27 10:20:36+00:00,21,4
01,01051,1,0,0,1,4,36,2022-08-27 10:20:36+00:00,36,4
01,01053,2,1,0,2,3,13,2022-08-27 10:20:36+00:00,13,3
01,01054,3,1,1,3,6,16,2022-08-27 10:20:36+00:00,16,6
01,01055,3,5,1,3,2,40,2022-08-27 10:20:36+00:00,40,2
01,01056,2,2,2,2,5,29,2022-08-27 10:20:36+00:00,29,5
01,01057,1,0,0,1,6,6,2022-08-27 10:20:36+00:00,6,6
01,01058,5,2,2,3,13,30,2022-08-27 10:20:36+00:00,27,10
01,01059,1,2,0,1,0,24,2022-08-27 10:20:36+00:00,24,0
01,01060,3,3,2,3,21,58,2022-08-27 10:20:36+00:00,58,21
01,01061,3,0,0,1,9,34,2022-08-27 10:20:36+00:00,22,8
01,01062,3,1,0,3,12,18,2022-08-27 10:20:36+00:00,18,12
02,02000,33,23,12,23,96,407,2022-08-27 10:20:36+00:00,350,46
03,03101,7,3,2,5,31,101,2022-08-27 10:20:36+00:00,89,26
03,03102,2,0,0,2,3,25,2022-08-27 10:20:36+00:00,25,3
03,03103,3,2,1,1,9,21,2022-08-27 10:20:36+00:00,14,6
03,03151,1,0,0,1,2,12,2022-08-27 10:20:36+00:00,12,2
03,03153,3,0,0,3,2,20,2022-08-27 10:20:36+00:00,20,2
03,03154,1,0,0,1,0,12,2022-08-27 10:20:36+00:00,12,0
03,03155,2,0,0,2,2,16,2022-08-27 10:20:36+00:00,16,2
03,03157,1,0,0,1,5,9,2022-08-27 10:20:36+00:00,9,5
03,03158,1,0,0,1,7,9,2022-08-27 10:20:36+00:00,9,7
03,03159,8,13,4,7,39,107,2022-08-27 10:20:36+00:00,96,30
03,03241,18,8,5,15,42,298,2022-08-27 10:20:36+00:00,252,27
03,03251,3,0,0,3,5,13,2022-08-27 10:20:36+00:00,13,5
03,03252,6,3,0,4,16,51,2022-08-27 10:20:36+00:00,51,11
03,03254,7,4,1,4,26,48,2022-08-27 10:20:36+00:00,42,20
03,03255,1,2,0,1,2,8,2022-08-27 10:20:36+00:00,8,2
03,03256,1,0,0,1,2,14,2022-08-27 10:20:36+00:00,14,2
03,03257,1,1,0,1,2,22,2022-08-27 10:20:36+00:00,22,2
03,03351,2,1,0,1,9,25,2022-08-27 10:20:36+00:00,21,3
03,03352,2,1,1,2,5,10,2022-08-27 10:20:36+00:00,10,5
03,03353,3,3,1,3,6,25,2022-08-27 10:20:36+00:00,25,6
03,03354,1,1,1,1,2,4,2022-08-27 10:20:36+00:00,4,2
