bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,1,0,2,5,35,2022-09-24 10:20:55+00:00,32,1
01,01002,7,2,2,3,18,117,2022-09-24 10:20:55+00:00,99,11
01,01003,3,3,1,2,4,107,2022-09-24 10:20:55+00:00,86,4
01,01004,1,0,0,1,3,20,2022-09-24 10:20:55+00:00,20,3
01,01051,1,0,0,1,0,35,2022-09-24 10:20:55+00:00,35,0
01,01053,2,1,0,2,2,14,2022-09-24 10:20:55+00:00,14,2
01,01054,3,0,0,3,6,18,2022-09-24 10:20:55+00:00,18,6
01,01055,3,4,1,3,5,35,2022-09-24 10:20:55+00:00,35,5
01,01056,2,3,1,2,4,30,2022-09-24 10:20:55+00:00,30,4
01,01057,1,0,0,1,6,6,2022-09-24 10:20:55+00:00,6,6
01,01058,5,2,1,3,16,27,2022-09-24 10:20:55+00:00,25,12
01,01059,1,1,0,1,0,24,2022-09-24 10:20:55+00:00,24,0
01,01060,3,1,1,3,32,47,2022-09-24 10:20:55+00:00,47,32
01,01061,3,2,0,1,19,24,2022-09-24 10:20:55+00:00,13,17
01,01062,3,2,0,3,10,22,2022-09-24 10:20:55+00:00,22,10
02,02000,34,17,6,24,85,454,2022-09-24 10:20:55+00:00,392,39
03,03101,7,1,1,5,33,97,2022-09-24 10:20:55+00:00,88,25
03,03102,2,0,0,2,0,28,2022-09-24 10:20:55+00:00,28,0
03,03103,3,0,0,1,8,22,2022-09-24 10:20:55+00:00,17,3
03,03151,1,1,0,1,0,14,2022-09-24 10:20:55+00:00,14,0
03,03153,3,0,0,3,4,20,2022-09-24 10:20:55+00:00,20,4
03,03154,1,0,0,1,0,10,2022-09-24 10:20:55+00:00,10,0
03,03155,2,0,0,2,8,12,2022-09-24 10:20:55+00:00,12,8
03,03157,1,1,1,1,0,14,2022-09-24 10:20:55+00:00,14,0
03,03158,1,1,0,1,4,12,2022-09-24 10:20:55+00:00,12,4
03,03159,8,0,0,7,35,109,2022-09-24 10:20:55+00:00,96,30
03,03241,19,10,7,16,44,338,2022-09-24 10:20:55+00:00,291,34
03,03251,3,0,0,3,6,12,2022-09-24 10:20:55+00:00,12,6
