bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,0,0,2,6,36,2022-04-18 10:19:47+00:00,32,3
01,01002,7,4,1,3,25,108,2022-04-18 10:19:47+00:00,91,19
01,01003,3,12,6,2,13,113,2022-04-18 10:19:47+00:00,92,10
01,01004,1,0,0,1,10,15,2022-04-18 10:19:47+00:00,15,10
01,01051,1,2,0,1,7,33,2022-04-18 10:19:47+00:00,33,7
01,01053,2,1,0,2,7,9,2022-04-18 10:19:47+00:00,9,7
01,01054,3,2,1,3,6,18,2022-04-18 10:19:47+00:00,18,6
01,01055,3,3,0,3,7,34,2022-04-18 10:19:47+00:00,34,7
01,01056,2,3,0,2,2,35,2022-04-18 10:19:47+00:00,35,2
01,01057,1,0,0,1,7,5,2022-04-18 10:19:47+00:00,5,7
01,01058,5,6,1,3,11,30,2022-04-18 10:19:47+00:00,27,8
01,01059,1,3,2,1,7,17,2022-04-18 10:19:47+00:00,17,7
01,01060,3,3,1,3,25,56,2022-04-18 10:19:47+00:00,56,25
01,01061,3,2,0,1,11,28,2022-04-18 10:19:47+00:00,20,6
01,01062,3,3,2,3,10,16,2022-04-18 10:19:47+00:00,16,10
02,02000,34,43,23,24,131,438,2022-04-18 10:19:47+00:00,380,82
03,03101,7,4,2,5,32,100,2022-04-18 10:19:47+00:00,86,29
03,03102,2,2,1,2,3,25,2022-04-18 10:19:47+00:00,25,3
03,03103,3,0,0,1,8,21,2022-04-18 10:19:47+00:00,17,3
03,03151,1,4,1,1,1,11,2022-04-18 10:19:47+00:00,11,1
03,03153,3,1,1,3,6,21,2022-04-18 10:19:47+00:00,21,6
03,03154,1,4,2,1,0,14,2022-04-18 10:19:47+00:00,14,0
03,03155,2,0,0,2,9,11,2022-04-18 10:19:47+00:00,11,9
03,03157,1,0,0,1,8,6,2022-04-18 10:19:47+00:00,6,8
03,03158,1,1,1,1,6,10,2022-04-18 10:19:47+00:00,10,6
03,03159,8,9,1,7,31,108,2022-04-18 10:19:47+00:00,92,29
03,03241,19,18,9,16,92,298,2022-04-18 10:19:47+00:00,257,78
03,03251,3,0,0,3,5,13,2022-04-18 10:19:47+00:00,13,5
03,03252,6,1,0,4,22,49,2022-04-18 10:19:47+00:00,46,19
03,03254,7,5,1,4,28,49,2022-04-18 10:19:47+00:00,44,22
03,03255,1,1,1,1,2,7,2022-04-18 10:19:47+00:00,7,2
03,03256,1,0,0,1,6,10,2022-04-18 10:19:47+00:00,10,6
03,03257,1,1,1,1,2,22,2022-04-18 10:19:47+00:00,22,2
03,03351,2,2,1,1,12,26,2022-04-18 10:19:47+00:00,21,7
03,03352,2,4,3,2,3,12,2022-04-18 10:19:47+00:00,12,3
03,03353,3,3,1,3,5,29,2022-04-18 10:19:47+00:00,29,5
03,03354,1,0,0,1,2,4,2022-04-18 10:19:47+00:00,4,2
03,03355,3,0,0,1,11,26,2022-04-18 10:19:47+00:00,16,4
03,03356,3,1,1,2,3,7,2022-04-18 10:19:47+00:00,7,3
03,03357,3,3,0,2,6,26,2022-04-18 10:19:47+00:00,24,4
03,03358,2,1,0,2,4,17,2022-04-18 10:19:47+00:00,17,4
03,03359,3,3,0,2,4,22,2022-04-18 10:19:47+00:00,22,1
03,03360,2,4,1,2,5,71,2022-04-18 10:19:47+00:00,71,5
03,03361,2,1,0,2,1,14,2022-04-18 10:19:47+00:00,14,1
03,03401,1,1,0,1,7,9,2022-04-18 10:19:47+00:00,9,7
03,03402,1,1,0,1,0,13,2022-04-18 10:19:47+00:00,13,0
03,03403,6,6,3,3,21,89,2022-04-18 10:19:47+00:00,78,16
03,03404,5,6,1,4,13,98,2022-04-18 10:19:47+00:00,82,13
03,03405,2,4,2,1,10,17,2022-04-18 10:19:47+00:00,15,4
03,03451,3,2,2,2,1,24,2022-04-18 10:19:47+00:00,24,1
03,03452,4,10,2,3,7,30,2022-04-18 10:19:47+00:00,27,2
03,03453,3,2,0,3,9,16,2022-04-18 10:19:47+00:00,16,9
03,03454,10,2,0,6,34,53,2022-04-18 10:19:47+00:00,47,16
03,03455,2,3,0,2,2,29,2022-04-18 10:19:47+00:00,29,2
03,03456,1,1,1,1,7,17,2022-04-18 10:19:47+00:00,17,7
03,03457,6,1,1,4,8,19,2022-04-18 10:19:47+00:00,19,3
03,03458,1,0,0,1,2,6,2022-04-18 10:19:47+00:00,6,2
03,03459,7,5,1,6,14,72,2022-04-18 10:19:47+00:00,72,14
03,03460,5,0,0,3,14,22,2022-04-18 10:19:47+00:00,19,9
03,03461,2,1,0,2,6,4,2022-04-18 10:19:47+00:00,4,6
03,03462,1,1,0,1,0,8,2022-04-18 10:19:47+00:00,8,0
04,04011,9,11,8,8,3,120,2022-04-18 10:19:47+00:00,106,1
04,04012,4,2,1,3,17,32,2022-04-18 10:19:47+00:00,26,15
05,05111,15,20,10,11,33,263,2022-04-18 10:19:47+00:00,236,14
05,05112,16,10,4,9,28,143,2022-04-18 10:19:47+00:00,122,21
05,05113,15,22,12,12,29,329,2022-04-18 10:19:47+00:00,306,22
05,05114,7,5,4,4,30,59,2022-04-18 10:19:47+00:00,54,20
05,05116,5,7,1,3,12,69,2022-04-18 10:19:47+00:00,63,11
05,05117,2,5,2,2,6,27,2022-04-18 10:19:47+00:00,27,6
05,05119,6,8,4,4,13,51,2022-04-18 10:19:47+00:00,43,2
