bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,2,1,2,5,37,2022-11-07 11:21:01+00:00,34,1
01,01002,7,1,0,3,21,112,2022-11-07 11:21:01+00:00,95,14
01,01003,3,7,2,2,6,117,2022-11-07 11:21:01+00:00,94,5
01,01004,1,1,0,1,5,18,2022-11-07 11:21:01+00:00,18,5
01,01051,1,1,0,1,2,36,2022-11-07 11:21:01+00:00,36,2
01,01053,2,2,0,2,3,13,2022-11-07 11:21:01+00:00,13,3
01,01054,3,1,0,3,7,17,2022-11-07 11:21:01+00:00,17,7
01,01055,3,3,1,3,4,37,2022-11-07 11:21:01+00:00,37,4
01,01056,2,1,0,2,7,27,2022-11-07 11:21:01+00:00,27,7
01,01057,1,0,0,1,4,8,2022-11-07 11:21:01+00:00,8,4
01,01058,5,2,1,3,12,31,2022-11-07 11:21:01+00:00,27,10
01,01059,1,2,0,1,0,24,2022-11-07 11:21:01+00:00,24,0
01,01060,3,0,0,3,17,67,2022-11-07 11:21:01+00:00,67,17
01,01061,3,2,1,1,9,34,2022-11-07 11:21:01+00:00,21,9
01,01062,3,1,1,3,7,19,2022-11-07 11:21:01+00:00,19,7
02,02000,33,17,9,23,100,409,2022-11-07 11:21:01+00:00,346,60
03,03101,7,9,3,5,37,95,2022-11-07 11:21:01+00:00,86,29
03,03102,2,2,1,2,2,26,2022-11-07 11:21:01+00:00,26,2
03,03103,3,1,1,1,2,24,2022-11-07 11:21:01+00:00,16,0
03,03151,1,1,1,1,0,13,2022-11-07 11:21:01+00:00,13,0
03,03153,3,1,0,3,4,18,2022-11-07 11:21:01+00:00,18,4
03,03154,1,2,1,1,1,9,2022-11-07 11:21:01+00:00,9,1
03,03155,2,4,1,2,3,18,2022-11-07 11:21:01+00:00,18,3
03,03157,1,0,0,1,3,13,2022-11-07 11:21:01+00:00,13,3
03,03158,1,1,0,1,5,11,2022-11-07 11:21:01+00:00,11,5
03,03159,7,9,4,6,17,112,2022-11-07 11:21:01+00:00,100,15
03,03241,19,14,4,16,51,339,2022-11-07 11:21:01+00:00,295,36
03,03251,3,2,1,3,5,12,2022-11-07 11:21:01+00:00,12,5
03,03252,6,2,0,4,13,54,2022-11-07 11:21:01+00:00,53,8
03,03254,7,4,0,4,14,59,2022-11-07 11:21:01+00:00,50,11
03,03255,1,0,0,1,0,9,2022-11-07 11:21:01+00:00,9,0
03,03256,1,1,0,1,2,10,2022-11-07 11:21:01+00:00,10,2
03,03257,1,0,0,1,3,21,2022-11-07 11:21:01+00:00,21,3
03,03351,2,3,2,1,10,23,2022-11-07 11:21:01+00:00,21,2
03,03352,2,2,0,2,2,13,2022-11-07 11:21:01+00:00,13,2
03,03353,3,0,0,3,5,26,2022-11-07 11:21:01+00:00,26,5
03,03354,1,0,0,1,2,4,2022-11-07 11:21:01+00:00,4,2
03,03355,3,1,1,1,6,31,2022-11-07 11:21:01+00:00,19,1
03,03356,3,1,0,2,5,5,2022-11-07 11:21:01+00:00,5,5
03,03357,3,4,1,2,6,24,2022-11-07 11:21:01+00:00,23,3
03,03358,2,1,1,2,0,16,2022-11-07 11:21:01+00:00,16,0
03,03359,3,1,0,2,5,22,2022-11-07 11:21:01+00:00,22,2
03,03360,2,1,0,2,3,73,2022-11-07 11:21:01+00:00,73,3
03,03361,2,1,0,2,0,17,2022-11-07 11:21:01+00:00,17,0
03,03401,1,2,0,1,4,12,2022-11-07 11:21:01+00:00,12,4
03,03402,1,1,1,1,2,11,2022-11-07 11:21:01+00:00,11,2
03,03403,5,1,0,3,15,102,2022-11-07 11:21:01+00:00,88,9
03,03404,5,0,0,4,12,96,2022-11-07 11:21:01+00:00,81,11
03,03405,2,0,0,1,12,17,2022-11-07 11:21:01+00:00,15,6
03,03451,3,0,0,2,7,23,2022-11-07 11:21:01+00:00,23,7
03,03452,4,5,3,3,5,31,2022-11-07 11:21:01+00:00,26,2
03,03453,3,0,0,3,4,20,2022-11-07 11:21:01+00:00,20,4
03,03454,10,3,0,6,30,51,2022-11-07 11:21:01+00:00,46,11
03,03455,2,1,0,2,7,24,2022-11-07 11:21:01+00:00,24,7
03,03456,1,2,0,1,2,22,2022-11-07 11:21:01+00:00,22,2
03,03457,6,1,0,4,8,19,2022-11-07 11:21:01+00:00,19,3
03,03458,1,1,1,1,2,6,2022-11-07 11:21:01+00:00,6,2
03,03459,7,4,1,6,16,75,2022-11-07 11:21:01+00:00,75,16
03,03460,5,2,0,3,15,23,2022-11-07 11:21:01+00:00,22,8
03,03461,2,3,1,2,4,8,2022-11-07 11:21:01+00:00,8,4
03,03462,1,0,0,1,2,6,2022-11-07 11:21:01+00:00,6,2
04,04011,9,8,1,8,2,138,2022-11-07 11:21:01+00:00,122,2
04,04012,4,9,5,3,10,37,2022-11-07 11:21:01+00:00,29,6
05,05111,15,16,1,11,23,270,2022-11-07 11:21:01+00:00,241,11
05,05112,15,11,4,9,26,145,2022-11-07 11:21:01+00:00,124,19
05,05113,15,22,12,12,39,310,2022-11-07 11:21:01+00:00,285,39
05,05114,7,3,2,4,12,68,2022-11-07 11:21:01+00:00,60,12
05,05116,6,7,2,4,2,84,2022-11-07 11:21:01+00:00,77,2
05,05117,2,5,4,2,1,31,2022-11-07 11:21:01+00:00,31,1
05,05119,6,8,2,4,9,59,2022-11-07 11:21:01+00:00,49,0
05,05120,1,0,0,1,3,25,2022-11-07 11:21:01+00:00,25,3
05,05122,4,3,2,3,7,58,2022-11-07 11:21:01+00:00,57,4
05,05124,7,9,4,5,18,119,2022-11-07 11:21:01+00:00,106,17
05,05154,8,8,3,5,15,53,2022-11-07 11:21:01+00:00,52,8
05,05158,6,2,0,6,16,46,2022-11-07 11:21:01+00:00,46,16
05,05162,7,1,0,5,17,83,2022-11-07 11:21:01+00:00,72,14
05,05166,4,2,1,4,10,24,2022-11-07 11:21:01+00:00,24,10
05,05170,11,14,2,8,36,88,2022-11-07 11:21:01+00:00,87,27
05,05314,17,15,7,10,7,240,2022-11-07 11:21:01+00:00,183,7
05,05315,23,22,15,16,27,293,2022-11-07 11:21:01+00:00,256,24
05,05316,5,1,0,2,6,58,2022-11-07 11:21:01+00:00,43,3
05,05334,13,7,1,7,14,250,2022-11-07 11:21:01+00:00,238,10
05,05358,6,2,1,4,8,48,2022-11-07 11:21:01+00:00,43,5
05,05362,6,4,1,6,16,46,2022-11-07 11:21:01+00:00,46,16
05,05366,3,1,0,3,2,28,2022-11-07 11:21:01+00:00,28,2
05,05370,3,2,1,3,3,31,2022-11-07 11:21:01+00:00,31,3
05,05374,5,2,2,5,11,46,2022-11-07 11:21:01+00:00,46,11
05,05378,3,2,0,3,7,24,2022-11-07 11:21:01+00:00,24,7
05,05382,7,3,1,6,10,72,2022-11-07 11:21:01+00:00,63,7
05,05512,2,1,0,2,13,30,2022-11-07 11:21:01+00:00,30,13
05,05513,7,7,1,4,22,68,2022-11-07 11:21:01+00:00,58,10
05,05515,10,9,3,7,21,194,2022-11-07 11:21:01+00:00,180,13
05,05554,6,2,1,5,11,57,2022-11-07 11:21:01+00:00,55,11
05,05558,5,4,0,3,4,28,2022-11-07 11:21:01+00:00,18,4
05,05562,15,9,1,14,48,179,2022-11-07 11:21:01+00:00,152,43
05,05566,7,6,0,5,13,72,2022-11-07 11:21:01+00:00,60,10
05,05570,6,3,0,5,13,31,2022-11-07 11:21:01+00:00,30,12
05,05711,9,6,3,5,16,107,2022-11-07 11:21:01+00:00,84,12
05,05754,3,1,0,3,7,19,2022-11-07 11:21:01+00:00,19,7
05,05758,4,2,1,2,12,38,2022-11-07 11:21:01+00:00,32,8
05,05762,6,3,0,5,8,22,2022-11-07 11:21:01+00:00,21,5
05,05766,2,8,2,2,1,49,2022-11-07 11:21:01+00:00,49,1
05,05770,9,3,1,6,22,169,2022-11-07 11:21:01+00:00,149,16
05,05774,7,6,3,5,16,64,2022-11-07 11:21:01+00:00,55,10
05,05911,8,13,5,6,19,160,2022-11-07 11:21:01+00:00,140,18
05,05913,8,13,2,8,20,250,2022-11-07 11:21:01+00:00,250,20
05,05914,7,4,2,5,10,74,2022-11-07 11:21:01+00:00,69,5
05,05915,7,4,3,5,23,62,2022-11-07 11:21:01+00:00,50,13
05,05916,4,2,0,4,14,50,2022-11-07 11:21:01+00:00,50,14
05,05954,8,4,2,6,28,90,2022-11-07 11:21:01+00:00,66,23
05,05958,9,8,2,8,25,59,2022-11-07 11:21:01+00:00,57,21
05,05962,9,3,0,7,11,85,2022-11-07 11:21:01+00:00,77,11
05,05966,3,4,1,3,5,16,2022-11-07 11:21:01+00:00,16,5
05,05970,7,3,1,6,16,100,2022-11-07 11:21:01+00:00,91,9
05,05974,9,4,1,7,10,78,2022-11-07 11:21:01+00:00,69,5
05,05978,8,13,3,8,11,92,2022-11-07 11:21:01+00:00,92,11
06,06411,7,5,3,4,27,83,2022-11-07 11:21:01+00:00,54,10
06,06412,17,21,8,12,28,243,2022-11-07 11:21:01+00:00,219,24
06,06413,4,7,2,2,5,100,2022-11-07 11:21:01+00:00,89,3
06,06414,6,8,5,4,10,74,2022-11-07 11:21:01+00:00,68,8
06,06431,5,1,0,5,8,32,2022-11-07 11:21:01+00:00,32,8
06,06432,2,4,3,2,0,21,2022-11-07 11:21:01+00:00,21,0
06,06433,2,1,1,2,4,16,2022-11-07 11:21:01+00:00,16,4
06,06434,2,2,0,2,3,17,2022-11-07 11:21:01+00:00,17,3
06,06435,7,3,1,4,6,67,2022-11-07 11:21:01+00:00,54,5
06,06436,2,4,0,2,1,22,2022-11-07 11:21:01+00:00,22,1
06,06437,2,13,0,2,5,121,2022-11-07 11:21:01+00:00,121,5
06,06438,2,3,3,2,6,17,2022-11-07 11:21:01+00:00,17,6
06,06439,2,2,0,2,1,13,2022-11-07 11:21:01+00:00,13,1
06,06440,5,6,2,5,3,61,2022-11-07 11:21:01+00:00,61,3
06,06531,6,11,6,4,16,196,2022-11-07 11:21:01+00:00,180,11
06,06532,2,2,1,2,6,41,2022-11-07 11:21:01+00:00,41,6
06,06533,3,4,3,3,10,37,2022-11-07 11:21:01+00:00,37,10
06,06534,3,10,2,3,27,104,2022-11-07 11:21:01+00:00,104,27
06,06535,4,1,0,4,13,11,2022-11-07 11:21:01+00:00,11,13
06,06611,6,12,2,6,23,118,2022-11-07 11:21:01+00:00,118,23
06,06631,3,4,1,3,9,72,2022-11-07 11:21:01+00:00,72,9
06,06632,4,4,2,3,11,47,2022-11-07 11:21:01+00:00,44,7
06,06633,3,1,0,3,2,19,2022-11-07 11:21:01+00:00,19,2
06,06634,3,0,0,3,6,20,2022-11-07 11:21:01+00:00,20,6
06,06635,6,1,0,6,6,72,2022-11-07 11:21:01+00:00,72,6
06,06636,3,0,0,3,11,19,2022-11-07 11:21:01+00:00,19,11
07,07111,7,6,1,4,24,93,2022-11-07 11:21:01+00:00,81,18
07,07131,2,0,0,2,3,13,2022-11-07 11:21:01+00:00,13,3
07,07132,2,3,1,2,7,8,2022-11-07 11:21:01+00:00,8,7
07,07133,6,3,0,4,10,38,2022-11-07 11:21:01+00:00,28,6
07,07134,2,1,0,2,1,18,2022-11-07 11:21:01+00:00,18,1
07,07135,2,2,0,2,3,6,2022-11-07 11:21:01+00:00,6,3
07,07137,3,1,0,3,15,18,2022-11-07 11:21:01+00:00,18,15
07,07138,7,1,1,5,6,63,2022-11-07 11:21:01+00:00,46,5
07,07140,2,1,1,2,6,8,2022-11-07 11:21:01+00:00,8,6
07,07141,4,3,2,4,11,18,2022-11-07 11:21:01+00:00,18,11
07,07143,4,0,0,4,7,19,2022-11-07 11:21:01+00:00,19,7
07,07211,5,2,1,2,12,62,2022-11-07 11:21:01+00:00,53,11
07,07231,2,1,0,2,4,18,2022-11-07 11:21:01+00:00,18,4
07,07232,2,1,1,2,4,12,2022-11-07 11:21:01+00:00,12,4
07,07233,2,4,2,2,7,9,2022-11-07 11:21:01+00:00,9,7
07,07235,2,0,0,2,6,6,2022-11-07 11:21:01+00:00,6,6
07,07311,1,2,1,1,2,9,2022-11-07 11:21:01+00:00,9,2
07,07312,3,6,4,1,23,86,2022-11-07 11:21:01+00:00,77,19
07,07313,3,0,0,2,4,18,2022-11-07 11:21:01+00:00,16,1
07,07314,6,2,0,4,12,89,2022-11-07 11:21:01+00:00,75,10
07,07315,3,4,2,2,4,99,2022-11-07 11:21:01+00:00,81,4
07,07316,1,2,0,1,6,13,2022-11-07 11:21:01+00:00,13,6
07,07317,2,1,1,1,8,8,2022-11-07 11:21:01+00:00,8,4
07,07318,3,4,2,2,8,19,2022-11-07 11:21:01+00:00,18,8
07,07319,3,4,0,1,7,45,2022-11-07 11:21:01+00:00,26,4
07,07320,1,0,0,1,4,6,2022-11-07 11:21:01+00:00,6,4
07,07331,1,0,0,1,2,4,2022-11-07 11:21:01+00:00,4,2
07,07332,2,2,0,2,9,9,2022-11-07 11:21:01+00:00,9,9
07,07333,2,0,0,2,3,9,2022-11-07 11:21:01+00:00,9,3
07,07334,2,0,0,2,2,16,2022-11-07 11:21:01+00:00,16,2
07,07335,1,0,0,1,7,3,2022-11-07 11:21:01+00:00,3,7
07,07336,1,1,1,1,2,14,2022-11-07 11:21:01+00:00,14,2
07,07337,2,0,0,2,0,11,2022-11-07 11:21:01+00:00,11,0
07,07339,1,1,1,1,0,11,2022-11-07 11:21:01+00:00,11,0
07,07340,1,0,0,1,4,3,2022-11-07 11:21:01+00:00,3,4
08,08111,13,17,5,10,50,210,2022-11-07 11:21:01+00:00,194,44
08,08115,6,1,0,4,12,43,2022-11-07 11:21:01+00:00,34,8
08,08116,8,2,1,4,15,70,2022-11-07 11:21:01+00:00,59,10
08,08117,4,2,1,2,9,26,2022-11-07 11:21:01+00:00,22,1
08,08118,4,0,0,3,2,67,2022-11-07 11:21:01+00:00,67,2
08,08119,4,1,0,2,15,47,2022-11-07 11:21:01+00:00,39,10
08,08121,3,2,0,1,16,38,2022-11-07 11:21:01+00:00,25,15
08,08125,2,6,1,2,5,42,2022-11-07 11:21:01+00:00,42,5
08,08126,1,0,0,1,0,7,2022-11-07 11:21:01+00:00,7,0
08,08127,4,0,0,2,6,40,2022-11-07 11:21:01+00:00,36,2
08,08128,4,4,1,3,23,27,2022-11-07 11:21:01+00:00,24,10
08,08135,2,0,0,1,8,12,2022-11-07 11:21:01+00:00,11,3
08,08136,8,0,0,4,20,56,2022-11-07 11:21:01+00:00,41,9
08,08211,3,1,1,1,3,18,2022-11-07 11:21:01+00:00,10,0
08,08212,6,5,5,4,9,94,2022-11-07 11:21:01+00:00,85,6
08,08215,3,4,0,3,12,30,2022-11-07 11:21:01+00:00,30,12
08,08216,1,0,0,1,0,9,2022-11-07 11:21:01+00:00,9,0
08,08221,7,9,6,5,11,193,2022-11-07 11:21:01+00:00,168,5
08,08222,6,12,10,3,9,90,2022-11-07 11:21:01+00:00,74,2
08,08225,3,2,1,3,11,10,2022-11-07 11:21:01+00:00,10,11
08,08226,4,4,1,4,3,34,2022-11-07 11:21:01+00:00,34,3
08,08231,4,3,2,2,15,39,2022-11-07 11:21:01+00:00,30,11
08,08235,2,0,0,2,4,16,2022-11-07 11:21:01+00:00,16,4
08,08236,2,1,0,2,2,10,2022-11-07 11:21:01+00:00,10,2
08,08237,1,1,0,1,8,3,2022-11-07 11:21:01+00:00,3,8
08,08311,7,13,3,4,36,160,2022-11-07 11:21:01+00:00,139,21
08,08315,3,0,0,3,4,25,2022-11-07 11:21:01+00:00,25,4
08,08316,3,0,0,3,2,16,2022-11-07 11:21:01+00:00,16,2
08,08317,8,2,1,6,17,70,2022-11-07 11:21:01+00:00,59,13
08,08325,2,1,0,2,0,10,2022-11-07 11:21:01+00:00,10,0
08,08326,6,3,1,2,8,46,2022-11-07 11:21:01+00:00,35,7
08,08327,1,2,0,1,2,8,2022-11-07 11:21:01+00:00,8,2
08,08335,10,2,2,6,19,65,2022-11-07 11:21:01+00:00,51,14
08,08336,2,0,0,2,8,24,2022-11-07 11:21:01+00:00,16,3
08,08337,1,0,0,1,5,5,2022-11-07 11:21:01+00:00,5,5
08,08415,3,4,1,1,7,21,2022-11-07 11:21:01+00:00,15,1
08,08416,5,3,1,2,6,93,2022-11-07 11:21:01+00:00,69,3
08,08417,2,1,0,2,2,15,2022-11-07 11:21:01+00:00,15,2
08,08421,5,6,1,4,23,108,2022-11-07 11:21:01+00:00,88,21
08,08425,2,0,0,2,3,11,2022-11-07 11:21:01+00:00,11,3
08,08426,1,3,0,1,0,16,2022-11-07 11:21:01+00:00,16,0
08,08435,5,4,1,3,23,31,2022-11-07 11:21:01+00:00,27,22
08,08436,6,5,1,4,18,38,2022-11-07 11:21:01+00:00,37,7
08,08437,1,0,0,1,7,5,2022-11-07 11:21:01+00:00,5,7
09,09161,1,1,0,1,7,40,2022-11-07 11:21:01+00:00,40,7
09,09162,35,32,13,24,23,480,2022-11-07 11:21:01+00:00,411,21
09,09163,3,0,0,1,2,34,2022-11-07 11:21:01+00:00,26,0
09,09171,2,2,0,1,0,24,2022-11-07 11:21:01+00:00,17,0
09,09172,3,1,0,3,9,13,2022-11-07 11:21:01+00:00,13,9
09,09173,2,0,0,2,2,20,2022-11-07 11:21:01+00:00,20,2
09,09174,1,3,0,1,2,29,2022-11-07 11:21:01+00:00,29,2
