"Datum","Neuinfektionen","Sieben_Tage_Inzidenz"
2021-06-26,592,5.9
2021-06-27,538,5.7
2021-06-28,219,5.6
2021-06-29,404,5.4
2021-06-30,808,5.2
2021-07-01,892,5.1
2021-07-02,649,5
2021-07-03,671,4.9
2021-07-04,559,5
2021-07-05,212,5
2021-07-06,440,4.9
2021-07-07,985,5.1
